dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300122,13.705000,0.000238,0.023810,1.190476,59.523810,6.283161
0.020000,3.300900,13.705000,0.001016,0.038900,0.754528,-21.797429,6.283006
0.020000,3.302650,13.704999,0.002766,0.087503,2.430170,83.782101,6.282657
0.020000,3.305760,13.704997,0.005876,0.155487,3.399195,48.451246,6.282035
0.020000,3.310615,13.704989,0.010731,0.242758,4.363515,48.215999,6.281060
0.020000,3.317404,13.704970,0.017520,0.339466,4.835430,23.595770,6.279687
0.020000,3.326120,13.704931,0.026236,0.435774,4.815410,-1.001002,6.277910
0.020000,3.336751,13.704864,0.036867,0.531559,4.789245,-1.308223,6.275720
0.020000,3.349284,13.704754,0.049401,0.626691,4.756598,-1.632359,6.273105
0.020000,3.363704,13.704586,0.063822,0.721032,4.717050,-1.977428,6.270050
0.020000,3.379991,13.704344,0.080110,0.814434,4.670081,-2.348450,6.266539
0.020000,3.398122,13.704006,0.098245,0.906735,4.615060,-2.751041,6.262553
0.020000,3.418072,13.703550,0.118200,0.997760,4.551237,-3.191138,6.258069
0.020000,3.439810,13.702950,0.139946,1.087314,4.477720,-3.675872,6.253061
0.020000,3.463301,13.702177,0.163450,1.175183,4.393455,-4.213220,6.247498
0.020000,3.488505,13.701200,0.188673,1.261127,4.297200,-4.812771,6.241346
0.020000,3.515375,13.699984,0.215570,1.344877,4.187503,-5.484858,6.234567
0.020000,3.543858,13.698492,0.244093,1.426131,4.062658,-6.242227,6.227117
0.020000,3.573895,13.696684,0.274184,1.504544,3.920669,-7.099460,6.218944
0.020000,3.605415,13.694516,0.305778,1.579728,3.759207,-8.073087,6.209991
0.020000,3.638339,13.691941,0.338803,1.651239,3.575546,-9.183036,6.200193
0.020000,3.672577,13.688909,0.373174,1.718569,3.366515,-10.451579,6.189475
0.020000,3.708023,13.685370,0.408797,1.781138,3.128423,-11.904585,6.177754
0.020000,3.744559,13.681269,0.445563,1.838278,2.856997,-13.571334,6.164932
0.020000,3.782048,13.676551,0.483347,1.889224,2.547313,-15.484174,6.150900
0.020000,3.820332,13.671161,0.522009,1.933099,2.193749,-17.678197,6.135531
0.020000,3.859232,13.665044,0.561387,1.968898,1.789965,-20.189183,6.118682
0.020000,3.898542,13.658149,0.601297,1.995477,1.328946,-23.050950,6.100189
0.020000,3.938026,13.650433,0.641527,2.011540,0.803163,-26.289195,6.079866
0.020000,3.977416,13.641859,0.681840,2.015639,0.204913,-29.912464,6.057499
0.020000,4.016411,13.632407,0.721964,2.006179,-0.473000,-33.895687,6.032848
0.020000,4.054670,13.622079,0.761593,1.981456,-1.236115,-38.155728,6.005641
0.020000,4.091820,13.610901,0.800388,1.939729,-2.086372,-42.512846,5.975576
0.020000,4.127453,13.598940,0.837974,1.879348,-3.019070,-46.634880,5.942322
0.020000,4.161141,13.586306,0.873954,1.798982,-4.018279,-49.960466,5.905522
0.020000,4.192453,13.573161,0.907914,1.697975,-5.050354,-51.603770,5.864811
0.020000,4.220984,13.559723,0.939451,1.576865,-6.055481,-50.256345,5.819831
0.020000,4.246398,13.546255,0.968213,1.438103,-6.938112,-44.131517,5.770267
0.020000,4.268486,13.533041,0.993951,1.286925,-7.558926,-31.040742,5.715900
0.020000,4.287228,13.520332,1.016596,1.132248,-7.733816,-8.744461,5.656667
0.020000,4.302859,13.508267,1.036342,0.987279,-7.248460,24.267763,5.592740
0.020000,4.315889,13.496756,1.053729,0.869327,-5.897580,67.544035,5.524600
0.020000,4.327084,13.485372,1.069695,0.798306,-3.551080,117.325000,5.453081
0.020000,4.337355,13.473269,1.085568,0.793669,-0.231834,165.962257,5.379363
0.020000,4.347594,13.459193,1.102974,0.870308,3.831944,203.188904,5.304892
0.020000,4.358487,13.441597,1.123670,1.034765,8.222859,219.545755,5.231228
0.020000,4.370376,13.418847,1.149338,1.283431,12.433316,210.522855,5.159870
0.020000,4.383219,13.389459,1.181410,1.603610,16.008931,178.780749,5.092087
0.020000,4.396651,13.352272,1.220949,1.976920,18.665512,132.829081,5.028826
0.020000,4.410103,13.306540,1.268619,2.383488,20.328389,83.143809,4.970676
0.020000,4.422937,13.251919,1.324726,2.805387,21.094941,38.327606,4.917910
0.020000,4.434553,13.188401,1.389298,3.228574,21.159350,3.220483,4.870550
0.020000,4.444453,13.116209,1.462166,3.643391,20.740873,-20.923874,4.828448
0.020000,4.452271,13.035705,1.543048,4.044132,20.037033,-35.191974,4.791353
0.020000,4.457773,12.947312,1.631612,4.428197,19.203253,-41.689029,4.758969
0.020000,4.460847,12.851457,1.727516,4.795212,18.350749,-42.625208,4.730992
0.020000,4.461486,12.748534,1.830442,5.146284,17.553583,-39.858295,4.707140
0.020000,4.459770,12.638878,1.940111,5.483454,16.858489,-34.754682,4.687165
0.020000,4.455850,12.522758,2.056298,5.809337,16.294177,-28.215592,4.670866
0.020000,4.449939,12.400362,2.178836,6.126916,15.878922,-20.762788,4.658097
0.020000,4.442309,12.271799,2.307625,6.439443,15.626358,-12.628187,4.648767
0.020000,4.433286,12.137092,2.442634,6.750440,15.549876,-3.824076,4.642849
0.020000,4.423253,11.996174,2.583909,7.063762,15.666113,5.811838,4.640384
0.020000,4.412666,11.848879,2.731584,7.383723,15.998023,16.595509,4.641492
0.020000,4.402064,11.694938,2.885889,7.715282,16.577942,28.995928,4.646378
0.020000,4.392095,11.533961,3.047175,8.064301,17.450944,43.650092,4.655352
0.020000,4.383554,11.365419,3.215933,8.437874,18.678645,61.385069,4.668852
0.020000,4.377433,11.188631,3.392827,8.844738,20.343217,83.228600,4.687469
0.020000,4.375001,11.002732,3.578742,9.295748,22.550487,110.363521,4.711991
0.020000,4.375000,10.841599,3.739875,8.056627,-61.956006,-4225.324680,4.712389
0.020000,4.375000,10.678504,3.902970,8.154762,4.906721,3343.136338,4.712389
0.020000,4.375000,10.513028,4.068446,8.273810,5.952381,52.283019,4.712389
0.020000,4.375000,10.345170,4.236304,8.392857,5.952381,0.000000,4.712389
0.020000,4.375000,10.174932,4.406542,8.511905,5.952381,0.000000,4.712389
0.020000,4.375000,10.002313,4.579161,8.630952,5.952381,-0.000000,4.712389
0.020000,4.375000,9.827313,4.754161,8.750000,5.952381,0.000000,4.712389
0.020000,4.375000,9.649932,4.931542,8.869048,5.952381,-0.000000,4.712389
0.020000,4.375000,9.470170,5.111304,8.988095,5.952381,0.000000,4.712389
0.020000,4.375000,9.288028,5.293446,9.107143,5.952381,0.000000,4.712389
0.020000,4.375000,9.103504,5.477970,9.226190,5.952381,-0.000000,4.712389
0.020000,4.375000,8.916599,5.664875,9.345238,5.952381,0.000000,4.712389
0.020000,4.375000,8.727313,5.854161,9.464286,5.952381,-0.000000,4.712389
0.020000,4.375000,8.535647,6.045827,9.583333,5.952381,0.000000,4.712389
0.020000,4.375000,8.341599,6.239875,9.702381,5.952381,0.000000,4.712389
0.020000,4.375000,8.145409,6.436065,9.809524,5.357143,-29.761905,4.712389
0.020000,4.374950,7.949858,6.631615,9.777504,-1.601014,-347.907830,4.710426
0.020000,4.373931,7.758041,6.823436,9.591016,-9.324388,-386.168715,4.704002
0.020000,4.371804,7.563736,7.017752,9.715820,6.240223,778.230553,4.699162
0.020000,4.368860,7.367452,7.214059,9.815328,4.975385,-63.241924,4.695879
