dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300099,25.986250,0.000200,0.020000,1.000000,50.000000,0.000025
0.020000,3.300716,25.986250,0.000817,0.030849,0.542474,-22.876315,0.000184
0.020000,3.302105,25.986251,0.002205,0.069415,1.928271,69.289850,0.000540
0.020000,3.304573,25.986253,0.004674,0.123416,2.700080,38.590460,0.001173
0.020000,3.308276,25.986259,0.008377,0.185154,3.086889,19.340458,0.002121
0.020000,3.313215,25.986272,0.013315,0.246928,3.088683,0.089693,0.003385
0.020000,3.319390,25.986298,0.019490,0.308750,3.091110,0.121378,0.004964
0.020000,3.326802,25.986342,0.026903,0.370634,3.094202,0.154588,0.006855
0.020000,3.335454,25.986411,0.035555,0.432594,3.097996,0.189691,0.009059
0.020000,3.345346,25.986513,0.045448,0.494645,3.102537,0.227053,0.011573
0.020000,3.356481,25.986657,0.056584,0.556802,3.107877,0.266999,0.014396
0.020000,3.368861,25.986855,0.068965,0.619084,3.114075,0.309894,0.017526
0.020000,3.382489,25.987117,0.082596,0.681508,3.121196,0.356037,0.020959
0.020000,3.397367,25.987457,0.097477,0.744094,3.129310,0.405714,0.024694
0.020000,3.413498,25.987888,0.113615,0.806864,3.138495,0.459227,0.028726
0.020000,3.430887,25.988425,0.131012,0.869841,3.148830,0.516790,0.033053
0.020000,3.449536,25.989085,0.149673,0.933049,3.160403,0.578624,0.037671
0.020000,3.469451,25.989885,0.169603,0.996515,3.173301,0.644907,0.042574
0.020000,3.490634,25.990842,0.190808,1.060267,3.187616,0.715760,0.047759
0.020000,3.513092,25.991977,0.213295,1.124336,3.203442,0.791270,0.053219
0.020000,3.536830,25.993310,0.237070,1.188753,3.220871,0.871464,0.058949
0.020000,3.561853,25.994862,0.262141,1.253553,3.239997,0.956326,0.064941
0.020000,3.588167,25.996656,0.288516,1.318771,3.260912,1.045736,0.071189
0.020000,3.615779,25.998715,0.316205,1.384445,3.283704,1.139574,0.077685
0.020000,3.644697,26.001064,0.345218,1.450615,3.308455,1.237584,0.084421
0.020000,3.674926,26.003729,0.375564,1.517319,3.335245,1.339488,0.091386
0.020000,3.706475,26.006735,0.407256,1.584602,3.364143,1.444893,0.098571
0.020000,3.739352,26.010109,0.440306,1.652506,3.395210,1.553373,0.105966
0.020000,3.773567,26.013880,0.474728,1.721076,3.428498,1.664394,0.113558
0.020000,3.809127,26.018076,0.510535,1.790357,3.464046,1.777375,0.121335
0.020000,3.846043,26.022727,0.547743,1.860395,3.501879,1.891666,0.129285
0.020000,3.884325,26.027862,0.586367,1.931235,3.542010,2.006559,0.137393
0.020000,3.923983,26.033513,0.626426,2.002924,3.584436,2.121304,0.145645
0.020000,3.965028,26.039710,0.667936,2.075507,3.629139,2.235116,0.154026
0.020000,4.007471,26.046485,0.710917,2.149028,3.676082,2.347182,0.162518
0.020000,4.051324,26.053869,0.755387,2.223533,3.725216,2.456699,0.171105
0.020000,4.096600,26.061896,0.801369,2.299062,3.776473,2.562859,0.179770
0.020000,4.143309,26.070596,0.848882,2.375658,3.829771,2.664900,0.188494
0.020000,4.191467,26.080002,0.897949,2.453358,3.885013,2.762096,0.197257
0.020000,4.241084,26.090147,0.948593,2.532200,3.942089,2.853795,0.206041
0.020000,4.292176,26.101061,1.000837,2.612217,4.000878,2.939434,0.214824
0.020000,4.344755,26.112776,1.054706,2.693442,4.061249,3.018544,0.223586
0.020000,4.398837,26.125323,1.110224,2.775903,4.123065,3.090787,0.232305
0.020000,4.454435,26.138732,1.167417,2.859627,4.186184,3.155951,0.240960
0.020000,4.511565,26.153033,1.226309,2.944636,4.250463,3.213972,0.249528
0.020000,4.570243,26.168253,1.286928,3.030952,4.315762,3.264935,0.257987
0.020000,4.630483,26.184419,1.349300,3.118590,4.381943,3.309086,0.266314
0.020000,4.692303,26.201557,1.413452,3.207568,4.448880,3.346828,0.274486
0.020000,4.755719,26.219691,1.479410,3.297897,4.516454,3.378720,0.282479
0.020000,4.820749,26.238842,1.547201,3.389588,4.584564,3.405472,0.290270
0.020000,4.887412,26.259033,1.616854,3.482651,4.653123,3.427935,0.297835
0.020000,4.955726,26.280279,1.688396,3.577092,4.722064,3.447090,0.305150
0.020000,5.025712,26.302598,1.761855,3.672919,4.791345,3.464034,0.312191
0.020000,5.097390,26.326002,1.837257,3.770138,4.860944,3.479963,0.318934
0.020000,5.170784,26.350502,1.914632,3.868755,4.930867,3.496151,0.325356
0.020000,5.245917,26.376106,1.994008,3.968778,5.001146,3.513934,0.331431
0.020000,5.322814,26.402817,2.075412,4.070215,5.071840,3.534690,0.337135
0.020000,5.401502,26.430638,2.158874,4.173076,5.143036,3.559809,0.342444
0.020000,5.482011,26.459564,2.244421,4.277373,5.214850,3.590687,0.347333
0.020000,5.564370,26.489591,2.332084,4.383121,5.287423,3.628681,0.351776
0.020000,5.648615,26.520707,2.421890,4.490340,5.360925,3.675107,0.355748
0.020000,5.734779,26.552897,2.513871,4.599051,5.435549,3.731197,0.359224
0.020000,5.822902,26.586142,2.608057,4.709281,5.511511,3.798081,0.362177
0.020000,5.913025,26.620418,2.704478,4.821062,5.589046,3.876749,0.364580
0.020000,6.005193,26.655695,2.803167,4.934430,5.668406,3.968021,0.366406
0.020000,6.099454,26.691938,2.904155,5.049427,5.749856,4.072496,0.367627
0.020000,6.195860,26.729106,3.007477,5.166100,5.833666,4.190506,0.368213
0.020000,6.294465,26.767151,3.113168,5.284503,5.920108,4.322053,0.368136
0.020000,6.395329,26.806018,3.221261,5.404691,6.009442,4.466730,0.367363
0.020000,6.498516,26.845646,3.331796,5.526730,6.101915,4.623633,0.365862
0.020000,6.604093,26.885964,3.444810,5.650684,6.197740,4.791244,0.363602
0.020000,6.712133,26.926894,3.560342,5.776626,6.297086,4.967302,0.360547
0.020000,6.822710,26.968348,3.678435,5.904627,6.400058,5.148633,0.356661
0.020000,6.935907,27.010227,3.799130,6.034761,6.506678,5.330972,0.351908
0.020000,7.051807,27.052422,3.922472,6.167098,6.616852,5.508730,0.346250
0.020000,7.170297,27.094740,4.048292,6.291017,6.195976,-21.043838,0.339660
0.020000,7.291056,27.136908,4.176201,6.395456,5.221931,-48.702240,0.332127
0.020000,7.413743,27.178653,4.305796,6.479747,4.214550,-50.369019,0.323655
0.020000,7.538004,27.219697,4.436660,6.543186,3.171951,-52.129999,0.314259
0.020000,7.663670,27.259837,4.568581,6.596072,2.644286,-26.383240,0.303948
0.020000,7.790776,27.298933,4.701564,6.649115,2.652163,0.393887,0.292720
0.020000,7.919348,27.336841,4.835608,6.702229,2.655679,0.175775,0.280573
0.020000,8.049410,27.373413,4.970714,6.755299,2.653504,-0.108750,0.267507
