dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300158,23.673750,0.000200,0.020000,1.000000,50.000000,0.000025
0.020000,3.301141,23.673750,0.001183,0.049151,1.457526,22.876311,0.000184
0.020000,3.303353,23.673751,0.003395,0.110585,3.071729,80.710160,0.000540
0.020000,3.307285,23.673754,0.007326,0.196584,4.299920,61.409516,0.001173
0.020000,3.313182,23.673764,0.013223,0.294846,4.913110,30.659526,0.002121
0.020000,3.321043,23.673786,0.021085,0.393072,4.911316,-0.089719,0.003385
0.020000,3.330868,23.673827,0.030910,0.491250,4.908888,-0.121418,0.004964
0.020000,3.342655,23.673896,0.042697,0.589366,4.905795,-0.154640,0.006855
0.020000,3.356403,23.674006,0.056445,0.687406,4.902000,-0.189753,0.009059
0.020000,3.372109,23.674168,0.072152,0.785355,4.897457,-0.227108,0.011573
0.020000,3.389771,23.674397,0.089816,0.883197,4.892116,-0.267088,0.014396
0.020000,3.409387,23.674710,0.109435,0.980915,4.885916,-0.309978,0.017526
0.020000,3.430953,23.675125,0.131004,1.078491,4.878794,-0.356119,0.020959
0.020000,3.454465,23.675662,0.154522,1.175905,4.870677,-0.405827,0.024694
0.020000,3.479919,23.676342,0.179985,1.273135,4.861491,-0.459325,0.028726
0.020000,3.507309,23.677188,0.207388,1.370158,4.851153,-0.516899,0.033053
0.020000,3.536629,23.678226,0.236727,1.466949,4.839578,-0.578745,0.037671
0.020000,3.567874,23.679480,0.267997,1.563483,4.826677,-0.645025,0.042574
0.020000,3.601035,23.680979,0.301192,1.659730,4.812360,-0.715883,0.047759
0.020000,3.636103,23.682751,0.336305,1.755661,4.796532,-0.791396,0.053219
0.020000,3.673070,23.684827,0.373330,1.851243,4.779100,-0.871594,0.058949
0.020000,3.711924,23.687237,0.412258,1.946442,4.759971,-0.956434,0.064941
0.020000,3.752654,23.690013,0.453083,2.041223,4.739054,-1.045868,0.071189
0.020000,3.795246,23.693190,0.495794,2.135548,4.716260,-1.139683,0.077685
0.020000,3.839688,23.696800,0.540381,2.229379,4.691506,-1.237697,0.084421
0.020000,3.885962,23.700878,0.586835,2.322673,4.664715,-1.339581,0.091386
0.020000,3.934052,23.705460,0.635143,2.415389,4.635815,-1.444989,0.098571
0.020000,3.983939,23.710580,0.685292,2.507484,4.604746,-1.553446,0.105966
0.020000,4.035605,23.716274,0.737271,2.598913,4.571457,-1.664456,0.113558
0.020000,4.089027,23.722578,0.791063,2.689631,4.535908,-1.777421,0.121335
0.020000,4.144183,23.729526,0.846655,2.779593,4.498075,-1.891693,0.129285
0.020000,4.201048,23.737154,0.904030,2.868752,4.457943,-2.006567,0.137393
0.020000,4.259598,23.745497,0.963171,2.957062,4.415517,-2.121290,0.145645
0.020000,4.319806,23.754586,1.024061,3.044478,4.370816,-2.235074,0.154026
0.020000,4.381642,23.764457,1.086680,3.130956,4.323874,-2.347122,0.162518
0.020000,4.445078,23.775139,1.151009,3.216451,4.274741,-2.456608,0.171105
0.020000,4.510083,23.786662,1.217027,3.300920,4.223486,-2.562747,0.179770
0.020000,4.576625,23.799056,1.284714,3.384324,4.170191,-2.664757,0.188494
0.020000,4.644672,23.812347,1.354046,3.466623,4.114953,-2.761926,0.197257
0.020000,4.714189,23.826559,1.425002,3.547781,4.057881,-2.853602,0.206041
0.020000,4.785144,23.841716,1.497557,3.627763,3.999096,-2.939212,0.214824
0.020000,4.857500,23.857837,1.571688,3.706537,3.938730,-3.018301,0.223586
0.020000,4.931224,23.874941,1.647370,3.784076,3.876920,-3.090520,0.232305
0.020000,5.006279,23.893042,1.724577,3.860352,3.813807,-3.155664,0.240960
0.020000,5.082630,23.912153,1.803283,3.935343,3.749533,-3.213667,0.249528
0.020000,5.160243,23.932284,1.883464,4.009027,3.684241,-3.264616,0.257987
0.020000,5.239081,23.953440,1.965092,4.081389,3.618066,-3.308756,0.266314
0.020000,5.319111,23.975626,2.048140,4.152411,3.551136,-3.346490,0.274486
0.020000,5.400299,23.998841,2.132582,4.222083,3.483569,-3.378380,0.282479
0.020000,5.482612,24.023082,2.218390,4.290392,3.415466,-3.405132,0.290270
0.020000,5.566017,24.048342,2.305536,4.357330,3.346914,-3.427602,0.297835
0.020000,5.650484,24.074612,2.393994,4.422890,3.277979,-3.446768,0.305150
0.020000,5.735983,24.101877,2.483735,4.487064,3.208704,-3.463730,0.312191
0.020000,5.822486,24.130121,2.574732,4.549846,3.139110,-3.479680,0.318934
0.020000,5.909965,24.159323,2.666957,4.611230,3.069192,-3.495896,0.325356
0.020000,5.998396,24.189457,2.760381,4.671209,2.998918,-3.513714,0.331431
0.020000,6.087754,24.220497,2.854976,4.729773,2.928228,-3.534508,0.337135
0.020000,6.178017,24.252409,2.950715,4.786914,2.857034,-3.559678,0.342444
0.020000,6.269165,24.285158,3.047567,4.842618,2.785222,-3.590606,0.347333
0.020000,6.361178,24.318703,3.145504,4.896871,2.712649,-3.628664,0.351776
0.020000,6.454039,24.353001,3.244498,4.949654,2.639146,-3.675159,0.355748
0.020000,6.547734,24.388004,3.344516,5.000945,2.564519,-3.731328,0.359224
0.020000,6.642246,24.423659,3.445531,5.050716,2.488553,-3.798300,0.362177
0.020000,6.737564,24.459911,3.547509,5.098936,2.411012,-3.877069,0.364580
0.020000,6.833676,24.496697,3.650421,5.145569,2.331643,-3.968452,0.366406
0.020000,6.930572,24.533953,3.754232,5.190572,2.250182,-4.073051,0.367627
0.020000,7.028242,24.571609,3.858910,5.233899,2.166358,-4.191201,0.368213
0.020000,7.126679,24.609589,3.964420,5.275497,2.079900,-4.322904,0.368136
0.020000,7.225876,24.647813,4.070726,5.315308,1.990545,-4.467757,0.367363
0.020000,7.325824,24.686197,4.177792,5.353269,1.898048,-4.624856,0.365862
0.020000,7.426517,24.724651,4.285578,5.389313,1.802194,-4.792687,0.363602
0.020000,7.527950,24.763079,4.394045,5.423369,1.702814,-4.968989,0.360547
0.020000,7.630114,24.801379,4.503153,5.455365,1.599802,-5.150595,0.356661
0.020000,7.733002,24.839445,4.612857,5.485228,1.493137,-5.333236,0.351908
0.020000,7.836607,24.877164,4.723115,5.512886,1.382911,-5.511334,0.346250
0.020000,7.940744,24.914357,4.833694,5.528961,0.803734,-28.958853,0.339660
0.020000,8.045057,24.950784,4.944185,5.524516,-0.222270,-51.300191,0.332127
0.020000,8.149198,24.986220,5.054189,5.500217,-1.214933,-49.633127,0.323655
0.020000,8.252826,25.020450,5.163324,5.456770,-2.172366,-47.871686,0.314259
0.020000,8.355778,25.053337,5.271402,5.403875,-2.644736,-23.618500,0.303948
0.020000,8.458065,25.084801,5.378418,5.350822,-2.652658,-0.396056,0.292720
0.020000,8.559693,25.114767,5.484372,5.297698,-2.656216,-0.177918,0.280573
0.020000,8.660669,25.143162,5.589264,5.244616,-2.654083,0.106664,0.267507
0.020000,8.760997,25.169916,5.693099,5.191719,-2.644829,0.462685,0.253527
0.020000,8.860682,25.194964,5.795882,5.139180,-2.626947,0.894088,0.238638
0.020000,8.959728,25.218242,5.897627,5.087203,-2.598881,1.403314,0.222850
0.020000,9.058138,25.239691,5.998347,5.036021,-2.559065,1.990816,0.206176
0.020000,9.155917,25.259256,6.098065,4.985902,-2.505974,2.654547,0.188636
0.020000,9.253073,25.276889,6.196808,4.937138,-2.438185,3.389456,0.170253
0.020000,9.349613,25.292541,6.294609,4.890049,-2.354443,4.187061,0.151055
0.020000,9.445549,25.306173,6.391508,4.844975,-2.253741,5.035117,0.131078
0.020000,9.540895,25.317746,6.487554,4.802267,-2.135391,5.917521,0.110362
0.020000,9.635667,25.327229,6.582799,4.762285,-1.999103,6.814382,0.088954
0.020000,9.729888,25.334593,6.677307,4.725384,-1.845053,7.702496,0.066908
0.020000,9.823580,25.339812,6.771145,4.691905,-1.673931,8.556075,0.044284
0.020000,9.916774,25.342867,6.864388,4.662166,-1.486975,9.347805,0.021144
0.020000,10.013534,25.343757,6.961152,4.838201,8.801785,514.438033,0.001098
0.020000,10.144603,25.344550,7.092224,6.553576,85.768749,3848.348182,0.010674
0.020000,10.273293,25.346428,7.220928,6.435205,-5.918580,-4584.366468,0.018202
0.020000,10.399709,25.349101,7.347372,6.322220,-5.649232,13.467434,0.023776
0.020000,10.523932,25.352303,7.471636,6.213188,-5.451585,9.882332,0.027464
0.020000,10.646017,25.355788,7.593771,6.106754,-5.321727,6.492924,0.029310
0.020000,10.765997,25.359325,7.713804,6.001613,-5.257016,3.235513,0.029338
0.020000,10.883879,25.362697,7.831733,5.896491,-5.256121,0.044759,0.027548
0.020000,10.999599,25.365694,7.947492,5.787941,-5.427515,-8.569665,0.023919
0.020000,11.112882,25.368112,8.060801,5.665452,-6.124453,-34.846944,0.018423
0.020000,11.223300,25.369758,8.171232,5.521518,-7.196689,-53.611755,0.011035
0.020000,11.330426,25.370462,8.278359,5.356392,-8.256290,-52.980057,0.001734
0.020000,11.433874,25.370081,8.381809,5.172471,-9.196046,-46.987832,6.273688
0.020000,11.533437,25.368499,8.481384,4.978736,-9.686780,-24.536710,6.260489
0.020000,11.629021,25.365622,8.577011,4.781370,-9.868284,-9.075189,6.245260
0.020000,11.720513,25.361378,8.668602,4.579536,-10.091668,-11.169186,6.227923
0.020000,11.807780,25.355719,8.756052,4.372497,-10.351961,-13.014634,6.208390
