dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300130,25.955000,0.000239,0.023881,1.194030,59.701493,0.000033
0.020000,3.300873,25.955000,0.000981,0.037131,0.662503,-26.576346,0.000222
0.020000,3.302544,25.955001,0.002652,0.083549,2.320914,82.920536,0.000647
0.020000,3.305515,25.955004,0.005623,0.148548,3.249975,46.453072,0.001403
0.020000,3.310158,25.955013,0.010266,0.232151,4.180117,46.507079,0.002582
0.020000,3.316660,25.955035,0.016768,0.325102,4.647550,23.371689,0.004232
0.020000,3.325023,25.955080,0.025131,0.418146,4.652190,0.231970,0.006351
0.020000,3.335249,25.955158,0.035358,0.511312,4.658303,0.305640,0.008936
0.020000,3.347341,25.955284,0.047450,0.604632,4.665999,0.384802,0.011985
0.020000,3.361302,25.955476,0.061413,0.698140,4.675411,0.470591,0.015494
0.020000,3.377137,25.955753,0.077250,0.791874,4.686692,0.564064,0.019459
0.020000,3.394850,25.956137,0.094968,0.885874,4.700018,0.666298,0.023876
0.020000,3.414447,25.956652,0.114572,0.980186,4.715581,0.778157,0.028739
0.020000,3.435934,25.957327,0.136069,1.074857,4.733592,0.900542,0.034042
0.020000,3.459317,25.958191,0.159468,1.169943,4.754274,1.034098,0.039777
0.020000,3.484604,25.959275,0.184778,1.265500,4.777862,1.179438,0.045935
0.020000,3.511802,25.960615,0.212010,1.361592,4.804601,1.336925,0.052509
0.020000,3.540922,25.962248,0.241175,1.458287,4.834736,1.506769,0.059486
0.020000,3.571974,25.964212,0.272288,1.555657,4.868515,1.688945,0.066854
0.020000,3.604966,25.966550,0.305364,1.653781,4.906179,1.883208,0.074601
0.020000,3.639913,25.969304,0.340419,1.752740,4.947960,2.089012,0.082712
0.020000,3.676825,25.972522,0.377471,1.852621,4.994071,2.305584,0.091169
0.020000,3.715717,25.976250,0.416542,1.953516,5.044708,2.531824,0.099956
0.020000,3.756603,25.980539,0.457652,2.055516,5.100035,2.766358,0.109052
0.020000,3.799499,25.985440,0.500826,2.158720,5.160186,3.007529,0.118435
0.020000,3.844420,25.991006,0.546091,2.263225,5.225253,3.253399,0.128084
0.020000,3.891383,25.997292,0.593473,2.369131,5.295290,3.501808,0.137973
0.020000,3.940408,26.004353,0.643004,2.476537,5.370297,3.750374,0.148074
0.020000,3.991513,26.012246,0.694715,2.585541,5.450229,3.996586,0.158361
0.020000,4.044718,26.021029,0.748640,2.696241,5.534986,4.237842,0.168803
0.020000,4.100043,26.030760,0.804814,2.808729,5.624416,4.471527,0.179367
0.020000,4.157511,26.041498,0.863276,2.923096,5.718318,4.695109,0.190021
0.020000,4.217142,26.053301,0.924065,3.039425,5.816443,4.906218,0.200729
