dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300084,21.705000,0.000198,0.019817,0.990854,49.542683,0.000008
0.020000,3.300971,21.705000,0.001085,0.044348,1.226559,11.785246,0.000092
0.020000,3.302967,21.705000,0.003081,0.099782,2.771704,77.257272,0.000280
0.020000,3.306514,21.705002,0.006629,0.177387,3.880213,55.425431,0.000615
0.020000,3.311836,21.705007,0.011950,0.266070,4.434157,27.697219,0.001118
0.020000,3.318931,21.705017,0.019045,0.354741,4.433545,-0.030589,0.001788
0.020000,3.327798,21.705036,0.027913,0.443395,4.432724,-0.041084,0.002624
0.020000,3.338439,21.705070,0.038553,0.532029,4.431689,-0.051740,0.003627
0.020000,3.350852,21.705122,0.050966,0.620638,4.430434,-0.062735,0.004796
0.020000,3.365036,21.705200,0.065150,0.709217,4.428953,-0.074034,0.006131
0.020000,3.380991,21.705309,0.081106,0.797761,4.427239,-0.085724,0.007630
0.020000,3.398715,21.705459,0.098831,0.886267,4.425282,-0.097858,0.009294
0.020000,3.418209,21.705658,0.118325,0.974728,4.423072,-0.110481,0.011121
0.020000,3.439470,21.705916,0.139588,1.063140,4.420599,-0.123643,0.013111
0.020000,3.462498,21.706243,0.162618,1.151497,4.417852,-0.137389,0.015262
0.020000,3.487290,21.706650,0.187414,1.239794,4.414816,-0.151763,0.017574
0.020000,3.513846,21.707149,0.213975,1.328023,4.411480,-0.166808,0.020045
0.020000,3.542163,21.707754,0.242298,1.416180,4.407829,-0.182563,0.022674
0.020000,3.572240,21.708478,0.272383,1.504257,4.403848,-0.199062,0.025460
0.020000,3.604073,21.709336,0.304228,1.592247,4.399521,-0.216337,0.028401
0.020000,3.637661,21.710342,0.337831,1.680144,4.394833,-0.234409,0.031495
0.020000,3.673000,21.711513,0.373190,1.767939,4.389766,-0.253327,0.034740
0.020000,3.710088,21.712865,0.410302,1.855625,4.384305,-0.273078,0.038136
0.020000,3.748921,21.714415,0.449166,1.943194,4.378431,-0.293682,0.041679
0.020000,3.789495,21.716182,0.489779,2.030637,4.372127,-0.315174,0.045367
0.020000,3.831807,21.718185,0.532138,2.117944,4.365377,-0.337530,0.049198
0.020000,3.875851,21.720441,0.576240,2.205107,4.358162,-0.360749,0.053170
0.020000,3.921624,21.722971,0.622082,2.292117,4.350465,-0.384834,0.057279
0.020000,3.969119,21.725796,0.669662,2.378962,4.342270,-0.409764,0.061523
0.020000,4.018332,21.728936,0.718974,2.465633,4.333560,-0.435508,0.065899
0.020000,4.069255,21.732412,0.770017,2.552120,4.324319,-0.462042,0.070402
0.020000,4.121884,21.736246,0.822785,2.638410,4.314532,-0.489326,0.075031
0.020000,4.176211,21.740459,0.877275,2.724494,4.304186,-0.517324,0.079781
0.020000,4.232228,21.745075,0.933482,2.810359,4.293267,-0.545963,0.084648
0.020000,4.289928,21.750116,0.991402,2.895995,4.281762,-0.575217,0.089628
0.020000,4.349303,21.755605,1.051030,2.981388,4.269663,-0.604970,0.094718
0.020000,4.410343,21.761564,1.112360,3.066527,4.256959,-0.635195,0.099911
0.020000,4.473040,21.768017,1.175388,3.151400,4.243643,-0.665779,0.105205
0.020000,4.537384,21.774987,1.240108,3.235994,4.229710,-0.696656,0.110593
0.020000,4.603364,21.782497,1.306514,3.320297,4.215156,-0.727717,0.116070
0.020000,4.670969,21.790570,1.374600,3.404297,4.199978,-0.758876,0.121632
0.020000,4.740189,21.799230,1.444359,3.487980,4.184178,-0.790013,0.127272
0.020000,4.811012,21.808499,1.515786,3.571335,4.167757,-0.821056,0.132984
0.020000,4.883425,21.818399,1.588873,3.654350,4.150720,-0.851849,0.138764
0.020000,4.957416,21.828954,1.663613,3.737011,4.133073,-0.882333,0.144603
0.020000,5.032973,21.840184,1.740000,3.819308,4.114826,-0.912354,0.150497
0.020000,5.110080,21.852112,1.818024,3.901228,4.095990,-0.941836,0.156437
0.020000,5.188725,21.864758,1.897679,3.982759,4.076577,-0.970654,0.162418
0.020000,5.268893,21.878143,1.978957,4.063891,4.056602,-0.998714,0.168432
0.020000,5.350570,21.892286,2.061849,4.144613,4.036084,-1.025917,0.174472
0.020000,5.433740,21.907206,2.146348,4.224914,4.015041,-1.052168,0.180530
0.020000,5.518389,21.922923,2.232443,4.304784,3.993493,-1.077391,0.186599
0.020000,5.604502,21.939452,2.320128,4.384213,3.971463,-1.101507,0.192671
0.020000,5.692061,21.956811,2.409391,4.463192,3.948973,-1.124455,0.198738
0.020000,5.781053,21.975015,2.500226,4.541713,3.926050,-1.146182,0.204791
0.020000,5.871460,21.994078,2.592621,4.619768,3.902717,-1.166651,0.210823
0.020000,5.963267,22.014015,2.686568,4.697348,3.879000,-1.185836,0.216824
0.020000,6.056459,22.034836,2.782057,4.774446,3.854926,-1.203725,0.222788
0.020000,6.151018,22.056554,2.879078,4.851057,3.830519,-1.220324,0.228704
0.020000,6.246929,22.079177,2.977622,4.927173,3.805806,-1.235652,0.234563
0.020000,6.344177,22.102715,3.077677,5.002789,3.780811,-1.249747,0.240358
0.020000,6.442746,22.127175,3.179235,5.077900,3.755558,-1.262658,0.246079
0.020000,6.542620,22.152561,3.282285,5.152501,3.730069,-1.274458,0.251718
0.020000,6.643784,22.178879,3.386817,5.226589,3.704364,-1.285224,0.257264
0.020000,6.746225,22.206130,3.492820,5.300158,3.678463,-1.295063,0.262708
0.020000,6.849926,22.234316,3.600284,5.373206,3.652381,-1.304083,0.268042
0.020000,6.954876,22.263437,3.709199,5.445728,3.626133,-1.312413,0.273256
0.020000,7.061059,22.293490,3.819553,5.517723,3.599729,-1.320197,0.278341
0.020000,7.168464,22.324472,3.931337,5.589186,3.573178,-1.327584,0.283287
0.020000,7.277077,22.356376,4.044539,5.660116,3.546483,-1.334739,0.288085
0.020000,7.386888,22.389195,4.159150,5.730509,3.519646,-1.341831,0.292725
0.020000,7.497885,22.422921,4.275157,5.800362,3.492665,-1.349050,0.297198
0.020000,7.610057,22.457542,4.392550,5.869673,3.465534,-1.356569,0.301493
0.020000,7.723395,22.493045,4.511319,5.938438,3.438242,-1.364593,0.305602
0.020000,7.837890,22.529416,4.631452,6.006653,3.410776,-1.373309,0.309515
0.020000,7.953534,22.566637,4.752938,6.074316,3.383117,-1.382913,0.313221
0.020000,8.070319,22.604690,4.875767,6.141421,3.355245,-1.393603,0.316711
0.020000,8.188239,22.643553,4.999926,6.207963,3.327134,-1.405570,0.319974
0.020000,8.307289,22.683204,5.125405,6.273938,3.298754,-1.419006,0.323001
0.020000,8.427462,22.723618,5.252192,6.339340,3.270072,-1.434085,0.325782
0.020000,8.548755,22.764767,5.380275,6.404161,3.241052,-1.450988,0.328306
0.020000,8.671165,22.806622,5.509643,6.468394,3.211655,-1.469871,0.330562
0.020000,8.794500,22.849084,5.640082,6.521964,2.678489,-26.658288,0.332538
0.020000,8.918379,22.891988,5.771181,6.554928,1.648236,-51.512676,0.334219
0.020000,9.042430,22.935163,5.902531,6.567496,0.628358,-50.993899,0.335596
0.020000,9.166285,22.978440,6.033728,6.559874,-0.381062,-50.471002,0.336660
0.020000,9.289767,23.021712,6.164573,6.542234,-0.882032,-25.048488,0.337411
0.020000,9.412890,23.064941,6.295065,6.524608,-0.881290,0.037079,0.337848
0.020000,9.535670,23.108088,6.425205,6.506991,-0.880856,0.021723,0.337973
0.020000,9.658118,23.151114,6.554992,6.489376,-0.880734,0.006100,0.337784
0.020000,9.780249,23.193981,6.684427,6.471758,-0.880926,-0.009600,0.337282
0.020000,9.902075,23.236651,6.813510,6.454129,-0.881430,-0.025185,0.336466
0.020000,10.023609,23.279086,6.942240,6.436484,-0.882239,-0.040460,0.335337
0.020000,10.144864,23.321248,7.070616,6.418817,-0.883344,-0.055236,0.333894
0.020000,10.265852,23.363101,7.198638,6.401123,-0.884730,-0.069311,0.332136
0.020000,10.386584,23.404607,7.326306,6.383395,-0.886380,-0.082487,0.330063
0.020000,10.507073,23.445729,7.453619,6.365630,-0.888271,-0.094559,0.327674
0.020000,10.627329,23.486430,7.580575,6.347822,-0.890377,-0.105316,0.324969
0.020000,10.747362,23.526672,7.707175,6.329969,-0.892668,-0.114542,0.321946
0.020000,10.867182,23.566420,7.833416,6.312067,-0.895108,-0.122015,0.318605
0.020000,10.986800,23.605636,7.959298,6.294114,-0.897658,-0.127505,0.314945
0.020000,11.106225,23.644284,8.084821,6.276108,-0.900274,-0.130772,0.310965
0.020000,11.225464,23.682327,8.209982,6.258050,-0.902905,-0.131579,0.306664
0.020000,11.344526,23.719729,8.334780,6.239940,-0.905499,-0.129674,0.302040
0.020000,11.463419,23.756455,8.459216,6.221780,-0.907995,-0.124797,0.297094
0.020000,11.582149,23.792466,8.583287,6.203573,-0.910329,-0.116696,0.291825
0.020000,11.700723,23.827729,8.706994,6.185325,-0.912431,-0.105100,0.286231
0.020000,11.819148,23.862205,8.830335,6.167040,-0.914226,-0.089754,0.280311
0.020000,11.937427,23.895861,8.953309,6.148728,-0.915634,-0.070392,0.274067
0.020000,12.055566,23.928660,9.075917,6.130396,-0.916569,-0.046755,0.267496
0.020000,12.173570,23.960567,9.198158,6.112057,-0.916941,-0.018600,0.260600
0.020000,12.291441,23.991548,9.320033,6.093724,-0.916654,0.014313,0.253377
0.020000,12.409183,24.021566,9.441541,6.075412,-0.915610,0.052201,0.245829
0.020000,12.526798,24.050588,9.562684,6.057138,-0.913705,0.095258,0.237956
0.020000,12.644288,24.078580,9.683462,6.038921,-0.910832,0.143649,0.229760
0.020000,12.761654,24.105507,9.803878,6.020784,-0.906882,0.197506,0.221241
0.020000,12.878898,24.131338,9.923933,6.002749,-0.901744,0.256914,0.212401
0.020000,12.996018,24.156038,10.043630,5.984843,-0.895306,0.321909,0.203243
0.020000,13.113016,24.179576,10.162972,5.967094,-0.887456,0.392472,0.193770
0.020000,13.229890,24.201921,10.281962,5.949532,-0.878086,0.468512,0.183984
0.020000,13.346639,24.223040,10.400606,5.932190,-0.867089,0.549872,0.173890
0.020000,13.463261,24.242906,10.518908,5.915103,-0.854362,0.636307,0.163492
0.020000,13.579754,24.261487,10.636874,5.898307,-0.839812,0.727494,0.152796
0.020000,13.696117,24.278755,10.754511,5.881840,-0.823352,0.823010,0.141807
0.020000,13.812345,24.294684,10.871826,5.865742,-0.804905,0.922343,0.130532
0.020000,13.928437,24.309245,10.988827,5.850053,-0.784408,1.024880,0.118978
0.020000,14.044387,24.322414,11.105523,5.834817,-0.761810,1.129908,0.107153
0.020000,14.160194,24.334167,11.221925,5.820076,-0.737077,1.236628,0.095066
0.020000,14.275853,24.344478,11.338042,5.805872,-0.710194,1.344139,0.082727
0.020000,14.391359,24.353327,11.453887,5.792248,-0.681165,1.451465,0.070145
0.020000,14.506710,24.360691,11.569472,5.779248,-0.650014,1.557568,0.057332
0.020000,14.621899,24.366552,11.684810,5.766912,-0.616787,1.661315,0.044300
0.020000,14.736923,24.370891,11.799916,5.755281,-0.581555,1.761595,0.031062
0.020000,14.851776,24.373689,11.914804,5.744393,-0.544411,1.857226,0.017630
0.020000,14.966455,24.374933,12.029490,5.734284,-0.505471,1.947015,0.004018
0.020000,15.101904,24.375461,12.164939,6.772489,51.910240,2620.785519,0.008934
0.020000,15.244626,24.377561,12.307677,7.136876,18.219382,-1684.542901,0.020257
0.020000,15.385669,24.381129,12.448765,7.054389,-4.124347,-1117.186419,0.030113
0.020000,15.525112,24.385935,12.588291,6.976315,-3.903687,11.032985,0.038581
0.020000,15.663029,24.391766,12.726331,6.902000,-3.715776,9.395570,0.045728
0.020000,15.799483,24.398426,12.862948,6.830828,-3.558587,7.859426,0.051610
0.020000,15.934530,24.405731,12.998192,6.762222,-3.430307,6.413993,0.056271
0.020000,16.068217,24.413507,13.132105,6.695634,-3.329382,5.046260,0.059749
0.020000,16.200581,24.421592,13.264716,6.630543,-3.254549,3.741645,0.062070
0.020000,16.331652,24.429828,13.396044,6.566446,-3.204851,2.484914,0.063252
0.020000,16.461448,24.438065,13.526102,6.502854,-3.179642,1.260429,0.063302
0.020000,16.589979,24.446154,13.654887,6.439282,-3.178594,0.052421,0.062223
