dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300135,25.955000,0.000239,0.023881,1.194030,59.701493,6.283171
0.020000,3.301216,25.955000,0.001320,0.054074,1.509688,15.782900,6.283059
0.020000,3.303650,25.954999,0.003754,0.121680,3.380296,93.530396,6.282806
0.020000,3.307977,25.954997,0.008081,0.216365,4.734233,67.696840,6.282356
0.020000,3.314741,25.954989,0.014845,0.338184,6.090977,67.837245,6.281651
0.020000,3.324215,25.954969,0.024319,0.473694,6.775459,34.224061,6.280659
0.020000,3.336404,25.954931,0.036508,0.609441,6.787379,0.596024,6.279377
0.020000,3.351313,25.954862,0.051418,0.745500,6.802917,0.776878,6.277798
0.020000,3.368952,25.954751,0.069056,0.881945,6.822250,0.966666,6.275917
0.020000,3.389328,25.954580,0.089434,1.018856,6.845578,1.166408,6.273725
0.020000,3.412453,25.954333,0.112560,1.156320,6.873170,1.379577,6.271211
0.020000,3.438340,25.953986,0.138449,1.294426,6.905332,1.608114,6.268365
0.020000,3.467001,25.953515,0.167114,1.433275,6.942441,1.855465,6.265173
0.020000,3.498455,25.952893,0.198573,1.572974,6.984931,2.124468,6.261620
0.020000,3.532718,25.952087,0.232846,1.713640,7.033317,2.419307,6.257689
0.020000,3.569812,25.951061,0.269954,1.855404,7.088205,2.744396,6.253361
0.020000,3.609759,25.949774,0.309923,1.998410,7.150296,3.104552,6.248613
0.020000,3.652586,25.948182,0.352779,2.142818,7.220405,3.505473,6.243421
0.020000,3.698321,25.946233,0.398555,2.288808,7.299497,3.954567,6.237756
0.020000,3.746995,25.943871,0.447287,2.436581,7.388674,4.458892,6.231586
0.020000,3.798644,25.941030,0.499014,2.586366,7.489243,5.028410,6.224877
0.020000,3.853308,25.937640,0.553782,2.738421,7.602719,5.673807,6.217586
0.020000,3.911029,25.933620,0.611643,2.893038,7.730866,6.407384,6.209670
0.020000,3.971855,25.928879,0.672654,3.050553,7.875765,7.244919,6.201077
0.020000,4.035841,25.923314,0.736881,3.211350,8.039839,8.203721,6.191747
0.020000,4.103044,25.916810,0.804399,3.375869,8.225924,9.304261,6.181615
0.020000,4.173531,25.909236,0.875291,3.544616,8.437354,10.571476,6.170606
0.020000,4.247372,25.900443,0.949654,3.718176,8.678021,12.033352,6.158634
0.020000,4.324649,25.890259,1.027599,3.897226,8.952472,13.722526,6.145602
0.020000,4.405447,25.878490,1.109250,4.082546,9.266012,15.677002,6.131397
0.020000,4.489863,25.864912,1.194751,4.275041,9.624768,17.937817,6.115893
0.020000,4.578000,25.849265,1.284266,4.475757,10.035794,20.551295,6.098943
0.020000,4.669970,25.831247,1.377984,4.685898,10.507063,23.563450,6.080380
0.020000,4.765891,25.810511,1.476121,4.906847,11.047415,27.017629,6.060012
0.020000,4.865886,25.786646,1.578924,5.140173,11.666336,30.946029,6.037617
0.020000,4.970078,25.759174,1.686677,5.387641,12.373405,35.353457,6.012946
0.020000,5.078582,25.727533,1.799701,5.651187,13.177303,40.194894,5.985711
0.020000,5.191496,25.691064,1.918358,5.932868,14.084016,45.335668,5.955590
0.020000,5.308880,25.648995,2.043053,6.234744,15.093828,50.490580,5.922224
0.020000,5.430730,25.600425,2.174227,6.558676,16.196583,55.137757,5.885221
0.020000,5.556940,25.544318,2.312346,6.905967,17.364539,58.397776,5.844164
0.020000,5.687245,25.479499,2.457882,7.276815,18.542421,58.894135,5.798635
0.020000,5.821150,25.404679,2.611273,7.669516,19.635062,54.632055,5.748244
0.020000,5.957839,25.318500,2.772861,8.079414,20.494862,42.990003,5.692684
0.020000,6.096088,25.219648,2.942815,8.497715,20.915068,21.010297,5.631806
0.020000,6.234181,25.107002,3.121025,8.910506,20.639547,-13.776052,5.565706
0.020000,6.369901,24.979858,3.306997,9.298563,19.402871,-61.833816,5.494825
0.020000,6.500612,24.838166,3.499771,9.638744,17.009032,-119.691960,5.420013
0.020000,6.623489,24.682717,3.697921,9.907457,13.435622,-178.670483,5.342543
0.020000,6.735854,24.515196,3.899637,10.085800,8.917156,-225.923326,5.264023
0.020000,6.835555,24.338030,4.102930,10.164665,3.943250,-248.695287,5.186224
0.020000,6.921250,24.154060,4.305879,10.147462,-0.860117,-240.168344,5.110857
0.020000,6.992507,23.966135,4.506860,10.049039,-4.921173,-203.052809,5.039367
0.020000,7.049712,23.776759,4.704687,9.891362,-7.883854,-148.134044,4.972808
0.020000,7.093846,23.587885,4.898649,9.698112,-9.662503,-88.932457,4.911813
0.020000,7.126229,23.400861,5.088456,9.490322,-10.389476,-36.348643,4.856640
0.020000,7.148305,23.216497,5.274137,9.284068,-10.312688,3.839392,4.807262
0.020000,7.161491,23.035175,5.455938,9.090031,-9.701865,30.541176,4.763459
0.020000,7.167094,22.856979,5.634222,8.914207,-8.791227,45.531889,4.724908
0.020000,7.166278,22.681800,5.809403,8.759050,-7.757817,51.670490,4.691241
0.020000,7.160061,22.509420,5.981895,8.624599,-6.722545,51.763611,4.662088
0.020000,7.149329,22.339571,6.152082,8.509373,-5.761302,48.062135,4.637108
0.020000,7.134859,22.171975,6.320303,8.411011,-4.918117,42.159256,4.616001
0.020000,7.117337,22.006365,6.486836,8.326678,-4.216639,35.073877,4.598517
0.020000,7.097385,21.842510,6.651902,8.253300,-3.668925,27.385706,4.584460
0.020000,7.075577,21.680215,6.815655,8.187665,-3.281718,19.360368,4.573694
0.020000,7.052457,21.519339,6.978184,8.126448,-3.060867,11.042569,4.566138
0.020000,7.028594,21.360037,7.139264,8.053982,-3.623290,-28.121159,4.561782
0.020000,7.004589,21.202743,7.298379,7.955737,-4.912254,-64.448190,4.560659
0.020000,6.981045,21.047926,7.454976,7.829847,-6.294491,-69.111885,4.562835
0.020000,6.958554,20.896100,7.608458,7.674126,-7.786085,-74.579699,4.568415
0.020000,6.937702,20.747838,7.758180,7.486108,-9.400860,-80.738734,4.577551
0.020000,6.919024,20.603566,7.903656,7.273793,-10.615770,-60.745480,4.590460
0.020000,6.903024,20.463613,8.044521,7.043222,-11.528537,-45.638382,4.607468
0.020000,6.890198,20.328458,8.180282,6.788085,-12.756840,-61.415127,4.629011
