dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300103,23.705000,0.000239,0.023881,1.194030,59.701493,6.283171
0.020000,3.300932,23.705000,0.001068,0.041448,0.878372,-15.782892,6.283059
0.020000,3.302797,23.704999,0.002933,0.093245,2.589854,85.574079,6.282806
0.020000,3.306112,23.704997,0.006247,0.165725,3.623976,51.706135,6.282356
0.020000,3.311288,23.704991,0.011424,0.258830,4.655291,51.565712,6.281651
0.020000,3.318531,23.704977,0.018666,0.362127,5.164838,25.477373,6.280659
0.020000,3.327835,23.704947,0.027970,0.465186,5.152919,-0.595926,6.279377
0.020000,3.339193,23.704895,0.039329,0.567933,5.137376,-0.777193,6.277798
0.020000,3.352599,23.704810,0.052735,0.670294,5.118047,-0.966433,6.275917
0.020000,3.368042,23.704681,0.068178,0.772188,5.094713,-1.166722,6.273725
0.020000,3.385511,23.704494,0.085649,0.873531,5.067120,-1.379627,6.271211
0.020000,3.404994,23.704233,0.105134,0.974230,5.034953,-1.608338,6.268365
0.020000,3.426475,23.703880,0.126617,1.074187,4.997844,-1.855458,6.265173
0.020000,3.449936,23.703416,0.150083,1.173294,4.955350,-2.124724,6.261620
0.020000,3.475358,23.702818,0.175512,1.271433,4.906956,-2.419667,6.257689
0.020000,3.502717,23.702061,0.202881,1.368474,4.852064,-2.744624,6.253361
0.020000,3.531987,23.701119,0.232167,1.464273,4.789968,-3.104795,6.248613
0.020000,3.563139,23.699961,0.263340,1.558670,4.719846,-3.506105,6.243421
0.020000,3.596139,23.698555,0.296370,1.651485,4.640748,-3.954876,6.237756
0.020000,3.630948,23.696865,0.331220,1.742516,4.551555,-4.459652,6.231586
0.020000,3.667524,23.694854,0.367851,1.831536,4.450971,-5.029189,6.224877
0.020000,3.705816,23.692479,0.406217,1.918285,4.337481,-5.674501,6.217586
0.020000,3.745769,23.689697,0.446266,2.002472,4.209307,-6.408699,6.209670
0.020000,3.787318,23.686459,0.487941,2.083759,4.064382,-7.246291,6.201077
0.020000,3.830391,23.682713,0.531177,2.161765,3.900277,-8.205230,6.191747
0.020000,3.874904,23.678406,0.575897,2.236048,3.714147,-9.306493,6.181615
0.020000,3.920762,23.673479,0.622020,2.306101,3.502667,-10.574018,6.170606
0.020000,3.967856,23.667872,0.669446,2.371340,3.261938,-12.036442,6.158634
0.020000,4.016061,23.661521,0.718068,2.431088,2.987404,-13.726675,6.145602
0.020000,4.065234,23.654360,0.767759,2.484563,2.673768,-15.681822,6.131397
0.020000,4.115209,23.646324,0.818377,2.530861,2.314881,-17.944359,6.115893
0.020000,4.165797,23.637345,0.869755,2.568935,1.903697,-20.559209,6.098943
0.020000,4.216780,23.627360,0.921707,2.597579,1.432226,-23.573546,6.080380
0.020000,4.267908,23.616311,0.974015,2.615411,0.891609,-27.030847,6.060012
0.020000,4.318894,23.604147,1.026432,2.620859,0.272356,-30.962652,6.037617
0.020000,4.369412,23.590833,1.078675,2.612156,-0.435142,-35.374882,6.012946
0.020000,4.419093,23.576353,1.130423,2.587364,-1.239591,-40.222478,5.985711
0.020000,4.467521,23.560722,1.181311,2.544424,-2.147008,-45.370806,5.955590
0.020000,4.514240,23.543989,1.230936,2.481269,-3.157722,-50.535703,5.922224
0.020000,4.558760,23.526258,1.278857,2.396037,-4.261613,-55.194586,5.885221
