dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300115,9.955000,0.000238,0.023810,1.190476,59.523810,0.000019
0.020000,3.300917,9.955000,0.001040,0.040081,0.813593,-18.844150,0.000153
0.020000,3.302720,9.955001,0.002843,0.090165,2.504199,84.530312,0.000455
0.020000,3.305925,9.955003,0.006048,0.160233,3.503392,49.959652,0.000993
0.020000,3.310929,9.955010,0.011052,0.250208,4.498737,49.767227,0.001836
0.020000,3.317928,9.955027,0.018051,0.349969,4.988038,24.465040,0.003021
0.020000,3.326916,9.955061,0.027039,0.449402,4.971683,-0.817733,0.004556
0.020000,3.337884,9.955121,0.038007,0.548409,4.950319,-1.068213,0.006447
0.020000,3.350822,9.955219,0.050945,0.646882,4.923682,-1.331868,0.008703
0.020000,3.365715,9.955369,0.065839,0.744711,4.891439,-1.612128,0.011337
0.020000,3.382549,9.955585,0.082675,0.841775,4.853181,-1.912919,0.014361
0.020000,3.401306,9.955886,0.101434,0.937943,4.808412,-2.238438,0.017792
0.020000,3.421963,9.956294,0.122095,1.033074,4.756536,-2.593781,0.021649
0.020000,3.444497,9.956830,0.144635,1.127011,4.696853,-2.984178,0.025952
0.020000,3.468879,9.957521,0.169027,1.219581,4.628525,-3.416366,0.030725
0.020000,3.495076,9.958395,0.195239,1.310593,4.550574,-3.897560,0.035997
0.020000,3.523052,9.959483,0.223235,1.399830,4.461844,-4.436500,0.041799
0.020000,3.552763,9.960820,0.252976,1.487049,4.360979,-5.043269,0.048167
0.020000,3.584160,9.962442,0.284416,1.571977,4.246385,-5.729684,0.055141
0.020000,3.617189,9.964391,0.317502,1.654301,4.116190,-6.509745,0.062769
0.020000,3.651784,9.966709,0.352175,1.733665,3.968193,-7.399882,0.071101
0.020000,3.687874,9.969443,0.388368,1.809661,3.799803,-8.419480,0.080199
0.020000,3.725374,9.972643,0.426005,1.881820,3.607975,-9.591407,0.090131
0.020000,3.764189,9.976361,0.464997,1.949603,3.389125,-10.942502,0.100974
0.020000,3.804207,9.980653,0.505245,2.012383,3.139038,-12.504328,0.112817
0.020000,3.845302,9.985576,0.546633,2.069439,2.852775,-14.313162,0.125762
0.020000,3.887327,9.991188,0.589032,2.119930,2.524548,-16.411360,0.139926
0.020000,3.930115,9.997549,0.632290,2.162883,2.147637,-18.845539,0.155442
0.020000,3.973470,10.004717,0.676233,2.197168,1.714285,-21.667587,0.172466
0.020000,4.017168,10.012745,0.720663,2.221482,1.215678,-24.930386,0.191173
0.020000,4.060952,10.021680,0.765349,2.234322,0.641999,-28.683910,0.211769
0.020000,4.104526,10.031558,0.810029,2.233976,-0.017294,-32.964684,0.234487
0.020000,4.147552,10.042398,0.854399,2.218518,-0.772877,-37.779145,0.259596
0.020000,4.189647,10.054194,0.898116,2.185831,-1.634372,-43.074745,0.287402
0.020000,4.230383,10.066906,0.940789,2.133666,-2.608233,-48.693024,0.318251
0.020000,4.269289,10.080449,0.981985,2.059783,-3.694170,-54.296865,0.352531
0.020000,4.305862,10.094680,1.021228,1.962194,-4.879457,-59.264342,0.390661
0.020000,4.339586,10.109387,1.058020,1.839587,-6.130329,-62.543627,0.433087
0.020000,4.369970,10.124285,1.091860,1.691986,-7.380064,-62.486729,0.480253
0.020000,4.396598,10.139021,1.122294,1.521699,-8.514333,-56.713462,0.532563
0.020000,4.419208,10.153206,1.148985,1.334556,-9.357155,-42.141097,0.590316
0.020000,4.437777,10.166479,1.171810,1.141247,-9.665479,-15.416179,0.653621
0.020000,4.452601,10.178628,1.190976,0.958319,-9.146399,25.954001,0.722295
0.020000,4.464341,10.189734,1.207137,0.808050,-7.513453,81.647278,0.795758
0.020000,4.473971,10.200341,1.221463,0.716291,-4.587912,146.277061,0.872967
