dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300115,7.673750,0.000200,0.020000,1.000000,50.000000,0.000014
0.020000,3.301045,7.673750,0.001130,0.046507,1.325351,16.267534,0.000126
0.020000,3.303138,7.673751,0.003223,0.104654,2.907331,79.099034,0.000380
0.020000,3.306860,7.673753,0.006945,0.186095,4.072066,58.236756,0.000831
0.020000,3.312445,7.673759,0.012530,0.279249,4.657678,29.280592,0.001510
0.020000,3.319896,7.673774,0.019981,0.372530,4.664095,0.320825,0.002419
0.020000,3.329215,7.673802,0.029300,0.465985,4.672724,0.431478,0.003560
0.020000,3.340408,7.673849,0.040494,0.559658,4.683646,0.546064,0.004938
0.020000,3.353480,7.673925,0.053565,0.653597,4.696946,0.665014,0.006557
0.020000,3.368437,7.674037,0.068523,0.747851,4.712733,0.789371,0.008423
0.020000,3.385285,7.674196,0.085372,0.842474,4.731141,0.920399,0.010541
0.020000,3.404035,7.674416,0.104122,0.937521,4.752330,1.059443,0.012920
0.020000,3.424694,7.674710,0.124783,1.033050,4.776480,1.207514,0.015567
0.020000,3.447273,7.675095,0.147366,1.129127,4.803807,1.366334,0.018493
0.020000,3.471784,7.675588,0.171882,1.225818,4.834555,1.537379,0.021707
0.020000,3.498241,7.676208,0.198346,1.323198,4.869010,1.722739,0.025222
0.020000,3.526657,7.676980,0.226773,1.421348,4.907490,1.924027,0.029050
0.020000,3.557050,7.677926,0.257180,1.520355,4.950373,2.144128,0.033208
0.020000,3.589436,7.679074,0.289587,1.620317,4.998077,2.385200,0.037711
0.020000,3.623835,7.680456,0.324013,1.721338,5.051087,2.650508,0.042577
0.020000,3.660268,7.682104,0.360484,1.823538,5.109957,2.943518,0.047827
0.020000,3.698760,7.684055,0.399025,1.927044,5.175310,3.267623,0.053484
0.020000,3.739335,7.686350,0.439665,2.032001,5.247873,3.628152,0.059573
0.020000,3.782022,7.689036,0.482436,2.138570,5.328457,4.029198,0.066121
0.020000,3.826852,7.692163,0.527375,2.246930,5.418006,4.477480,0.073160
0.020000,3.873858,7.695786,0.574521,2.357282,5.517587,4.979052,0.080724
0.020000,3.923077,7.699968,0.623918,2.469851,5.628423,5.541809,0.088852
0.020000,3.974551,7.704779,0.675616,2.584889,5.751913,6.174462,0.097585
0.020000,4.028322,7.710297,0.729669,2.702682,5.889653,6.886995,0.106972
0.020000,4.084439,7.716608,0.786140,2.823551,6.043458,7.690261,0.117066
0.020000,4.142955,7.723811,0.845097,2.947859,6.215401,8.597142,0.127927
0.020000,4.203926,7.732014,0.906618,3.076016,6.407835,9.621722,0.139620
0.020000,4.267414,7.741342,0.970787,3.208484,6.623413,10.778894,0.152221
0.020000,4.333486,7.751936,1.037703,3.345786,6.865117,12.085192,0.165814
0.020000,4.402213,7.763953,1.107473,3.488512,7.136264,13.557340,0.180491
0.020000,4.473673,7.777576,1.180220,3.637321,7.440488,15.211230,0.196359
0.020000,4.547945,7.793011,1.256079,3.792956,7.781707,17.060955,0.213535
0.020000,4.625114,7.810493,1.335204,3.956236,8.164002,19.114759,0.232152
0.020000,4.705266,7.830293,1.417765,4.128065,8.591443,21.372003,0.252358
0.020000,4.788485,7.852722,1.503953,4.309419,9.067739,23.814807,0.274317
0.020000,4.874850,7.878136,1.593980,4.501334,9.595735,26.399830,0.298212
0.020000,4.964429,7.906943,1.688077,4.704866,10.176575,29.042000,0.324244
0.020000,5.057270,7.939611,1.786498,4.921035,10.808491,31.595798,0.352633
0.020000,5.153388,7.976672,1.889513,5.150736,11.485051,33.827998,0.383611
0.020000,5.252746,8.018727,1.997405,5.394591,12.192730,35.383945,0.417425
0.020000,5.355236,8.066447,2.110459,5.652746,12.907773,35.752146,0.454321
0.020000,5.460648,8.120564,2.228951,5.924595,13.592419,34.232316,0.494537
0.020000,5.568632,8.181859,2.353120,6.208414,14.190974,29.927739,0.538281
0.020000,5.678663,8.251128,2.483139,6.500951,14.626812,21.791902,0.585702
0.020000,5.789996,8.329133,2.619079,6.796996,14.802271,8.772968,0.636863
0.020000,5.901639,8.416527,2.760860,7.089081,14.604255,-9.900826,0.691695
0.020000,6.012346,8.513768,2.908209,7.367453,13.918599,-34.282820,0.749961
0.020000,6.120640,8.621012,3.060620,7.620546,12.654646,-63.197640,0.811223
0.020000,6.224896,8.738027,3.217342,7.836090,10.777210,-93.871773,0.874833
0.020000,6.323459,8.864136,3.377398,8.002823,8.336627,-122.029178,0.939944
0.020000,6.414802,8.998230,3.539648,8.112473,5.482509,-142.705881,1.005568
0.020000,6.497683,9.138852,3.702877,8.161446,2.448637,-151.693615,1.070656
0.020000,6.571261,9.284337,3.865909,8.151602,-0.492176,-147.040661,1.134189
0.020000,6.635143,9.432988,4.027705,8.089832,-3.088525,-129.817419,1.195267
0.020000,6.689368,9.583234,4.187437,7.986583,-5.162407,-103.694123,1.253173
0.020000,6.734326,9.733741,4.344515,7.853902,-6.634075,-73.583401,1.307398
0.020000,6.770653,9.883468,4.498587,7.703581,-7.516062,-44.099311,1.357636
0.020000,6.799131,10.031674,4.649504,7.545852,-7.886450,-18.519421,1.403760
0.020000,6.820594,10.177882,4.797278,7.388728,-7.856196,1.512674,1.445779
0.020000,6.835873,10.321831,4.942036,7.237893,-7.541733,15.723150,1.483805
0.020000,6.845749,10.463426,5.083975,7.096942,-7.047536,24.709890,1.518006
0.020000,6.850939,10.602685,5.223331,6.967779,-6.458176,29.467964,1.548589
0.020000,6.852087,10.739701,5.360351,6.851037,-5.837078,31.054916,1.575767
0.020000,6.849767,10.874610,5.495281,6.746458,-5.228942,30.406789,1.599752
0.020000,6.844490,11.007569,5.628344,6.653186,-4.663626,28.265807,1.620739
0.020000,6.836712,11.138738,5.759744,6.569983,-4.160127,25.174949,1.638902
0.020000,6.826841,11.268270,5.889652,6.495382,-3.730065,21.503109,1.654391
0.020000,6.815253,11.396302,6.018207,6.427773,-3.380466,17.479943,1.667326
0.020000,6.802295,11.522950,6.145516,6.365455,-3.115895,13.228561,1.677800
0.020000,6.788294,11.648304,6.271649,6.306654,-2.940060,8.791751,1.685872
0.020000,6.773590,11.772216,6.396431,6.239075,-3.378948,-21.944422,1.691564
0.020000,6.758542,11.894322,6.519460,6.151484,-4.379516,-50.028393,1.694876
0.020000,6.743504,12.014255,6.640333,6.043617,-5.393357,-50.692061,1.695804
0.020000,6.728816,12.131641,6.758634,5.915072,-6.427263,-51.695271,1.694335
0.020000,6.714783,12.246283,6.874132,5.774889,-7.009147,-29.094208,1.690441
0.020000,6.701673,12.358136,6.986750,5.630895,-7.199692,-9.527268,1.684056
0.020000,6.689747,12.467097,7.096362,5.480597,-7.514904,-15.760568,1.675073
0.020000,6.679263,12.573005,7.202788,5.321316,-7.964074,-22.458529,1.663334
0.020000,6.670468,12.675632,7.305790,5.150117,-8.559950,-29.793777,1.648634
0.020000,6.663602,12.774669,7.405065,4.963750,-9.318351,-37.920035,1.630711
0.020000,6.658886,12.869724,7.500238,4.758605,-10.257206,-46.942798,1.609239
0.020000,6.656513,12.960307,7.590852,4.530716,-11.394451,-56.862223,1.583827
0.020000,6.656250,13.065140,7.695684,5.241631,35.545736,2347.009368,1.570796
0.020000,6.656250,13.185140,7.815684,6.000000,37.918441,118.635208,1.570796
0.020000,6.656250,13.305140,7.935684,6.000000,0.000000,-1895.922029,1.570796
0.020000,6.656250,13.425140,8.055684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,13.545140,8.175684,6.000000,-0.000000,0.000000,1.570796
0.020000,6.656250,13.665140,8.295684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,13.785140,8.415684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,13.905140,8.535684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,14.025140,8.655684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,14.145140,8.775684,6.000000,0.000000,-0.000000,1.570796
0.020000,6.656250,14.265140,8.895684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,14.385140,9.015684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,14.505140,9.135684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,14.625140,9.255684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,14.745140,9.375684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,14.865140,9.495684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,14.985140,9.615684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.105140,9.735684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.225140,9.855684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.345140,9.975684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.465140,10.095684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,15.585140,10.215684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.705140,10.335684,6.000000,0.000000,0.000000,1.570796
0.020000,6.656250,15.825140,10.455684,6.000000,-0.000000,-0.000000,1.570796
0.020000,6.656250,15.945140,10.575684,6.000000,0.000000,0.000000,1.570796
