dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300160,9.955000,0.000239,0.023881,1.194030,59.701493,6.283166
0.020000,3.301262,9.955000,0.001341,0.055091,1.560506,18.323816,6.283036
0.020000,3.303741,9.954999,0.003820,0.123966,3.443743,94.161852,6.282743
0.020000,3.308150,9.954996,0.008228,0.220422,4.822840,68.954845,6.282220
0.020000,3.315040,9.954987,0.015119,0.344511,6.204407,69.078327,6.281403
0.020000,3.324690,9.954964,0.024769,0.482521,6.900546,34.806966,6.280254
0.020000,3.337105,9.954918,0.037184,0.620741,6.910970,0.521187,6.278771
0.020000,3.352289,9.954837,0.052368,0.759231,6.924498,0.676405,6.276948
0.020000,3.370250,9.954706,0.070330,0.898055,6.941225,0.836368,6.274781
0.020000,3.390995,9.954505,0.091075,1.037281,6.961275,1.002513,6.272260
0.020000,3.414532,9.954214,0.114615,1.176977,6.984788,1.175611,6.269379
0.020000,3.440874,9.953808,0.140959,1.317215,7.011935,1.357378,6.266128
0.020000,3.470030,9.953258,0.170120,1.458074,7.042915,1.548970,6.262495
0.020000,3.502014,9.952532,0.202113,1.599633,7.077951,1.751843,6.258469
0.020000,3.536841,9.951593,0.236953,1.741979,7.117306,1.967726,6.254034
0.020000,3.574526,9.950403,0.274657,1.885204,7.161264,2.197899,6.249176
0.020000,3.615087,9.948916,0.315245,2.029407,7.210159,2.444739,6.243877
0.020000,3.658543,9.947082,0.358739,2.174694,7.264347,2.709419,6.238118
0.020000,3.704912,9.944846,0.405162,2.321179,7.324239,2.994609,6.231877
0.020000,3.754218,9.942148,0.454542,2.468984,7.390279,3.301990,6.225132
0.020000,3.806483,9.938920,0.506907,2.618244,7.462958,3.633936,6.217856
0.020000,3.861733,9.935088,0.562289,2.769100,7.542811,3.992673,6.210020
0.020000,3.919992,9.930572,0.620723,2.921708,7.630423,4.380584,6.201594
0.020000,3.981289,9.925281,0.682248,3.076237,7.726415,4.799593,6.192544
0.020000,4.045652,9.919117,0.746905,3.232866,7.831459,5.252218,6.182832
0.020000,4.113110,9.911971,0.814741,3.391791,7.946254,5.739720,6.172417
0.020000,4.183694,9.903723,0.885805,3.553221,8.071528,6.263702,6.161255
0.020000,4.257435,9.894241,0.960153,3.717382,8.208015,6.824387,6.149297
0.020000,4.334362,9.883379,1.037843,3.884510,8.356434,7.420952,6.136490
0.020000,4.414505,9.870978,1.118940,4.054859,8.517453,8.050923,6.122778
0.020000,4.497893,9.856860,1.203514,4.228692,8.691642,8.709437,6.108098
0.020000,4.584548,9.840831,1.291640,4.406280,8.879403,9.388075,6.092384
0.020000,4.674492,9.822676,1.383398,4.587898,9.080886,10.074148,6.075563
0.020000,4.767738,9.802159,1.478874,4.773815,9.295867,10.749023,6.057560
0.020000,4.864290,9.779020,1.578160,4.964287,9.523592,11.386271,6.038293
0.020000,4.964140,9.752976,1.681351,5.159539,9.762588,11.949811,6.017677
0.020000,5.067264,9.723715,1.788546,5.359747,10.010413,12.391258,5.995625
0.020000,5.173616,9.690899,1.899846,5.565015,10.263365,12.647599,5.972046
0.020000,5.283125,9.654161,2.015353,5.775338,10.516149,12.639200,5.946849
0.020000,5.395684,9.613109,2.135164,5.990568,10.761499,12.267498,5.919949
0.020000,5.511145,9.567326,2.259371,6.210364,10.989813,11.415701,5.891264
0.020000,5.629310,9.516371,2.388054,6.434141,11.188838,9.951255,5.860722
0.020000,5.749919,9.459793,2.521274,6.661011,11.343497,7.732952,5.828269
0.020000,5.872644,9.397137,2.659069,6.889730,11.435971,4.623688,5.793872
0.020000,5.997078,9.327954,2.801442,7.118654,11.446196,0.511226,5.757526
0.020000,6.122729,9.251825,2.948356,7.345712,11.352918,-4.663878,5.719266
0.020000,6.249018,9.168376,3.099725,7.568421,11.135439,-10.873963,5.679169
0.020000,6.375278,9.077304,3.255404,7.783942,10.776057,-17.969094,5.637361
0.020000,6.500772,8.978399,3.415188,7.989203,10.263060,-25.649850,5.594026
0.020000,6.624701,8.871564,3.578809,8.181081,9.593859,-33.460058,5.549402
0.020000,6.746235,8.756835,3.745942,8.356633,8.777630,-40.811455,5.503779
