dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300117,7.705000,0.000239,0.023881,1.194030,59.701493,6.283166
0.020000,3.300926,7.705000,0.001047,0.040432,0.827553,-18.323856,6.283036
0.020000,3.302745,7.704999,0.002867,0.090960,2.526408,84.942744,6.282743
0.020000,3.305979,7.704997,0.006100,0.161667,3.535368,50.448008,6.282220
0.020000,3.311029,7.704990,0.011150,0.252504,4.541862,50.324688,6.281403
0.020000,3.318095,7.704974,0.018216,0.353299,5.039751,24.894457,6.280254
0.020000,3.327172,7.704940,0.027294,0.453886,5.029326,-0.521221,6.278771
0.020000,3.338256,7.704881,0.038378,0.554202,5.015797,-0.676454,6.276948
0.020000,3.351340,7.704785,0.051461,0.654183,4.999066,-0.836559,6.274781
0.020000,3.366414,7.704640,0.066537,0.753764,4.979016,-1.002504,6.272260
0.020000,3.383470,7.704429,0.083594,0.852873,4.955499,-1.175839,6.269379
0.020000,3.402497,7.704135,0.102623,0.951440,4.928348,-1.357550,6.266128
0.020000,3.423481,7.703739,0.123611,1.049388,4.897365,-1.549160,6.262495
0.020000,3.446408,7.703219,0.146543,1.146634,4.862322,-1.752130,6.258469
0.020000,3.471260,7.702549,0.171405,1.243093,4.822964,-1.967893,6.254034
0.020000,3.498021,7.701704,0.198179,1.338673,4.778997,-2.198387,6.249176
0.020000,3.526667,7.700654,0.226844,1.433275,4.730098,-2.444961,6.243877
0.020000,3.557176,7.699366,0.257380,1.526793,4.675897,-2.710017,6.238118
0.020000,3.589520,7.697807,0.289762,1.619113,4.615995,-2.995095,6.231877
0.020000,3.623671,7.695938,0.323965,1.710112,4.549943,-3.302618,6.225132
0.020000,3.659596,7.693720,0.359958,1.799657,4.477249,-3.634674,6.217856
0.020000,3.697258,7.691108,0.397710,1.887605,4.397378,-3.993560,6.210020
0.020000,3.736616,7.688057,0.437186,1.973800,4.309748,-4.381489,6.201594
0.020000,3.777625,7.684518,0.478347,2.058074,4.213731,-4.800889,6.192544
0.020000,3.820235,7.680438,0.521152,2.140247,4.108660,-5.253509,6.182832
0.020000,3.864390,7.675760,0.565555,2.220124,3.993832,-5.741424,6.172417
0.020000,3.910030,7.670428,0.611505,2.297494,3.868520,-6.265604,6.161255
0.020000,3.957085,7.664378,0.658947,2.372134,3.731988,-6.826585,6.149297
0.020000,4.005481,7.657545,0.707823,2.443805,3.583516,-7.423594,6.136490
