dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.499914,17.375000,0.000198,0.019814,0.990725,49.536228,3.141626
0.020000,12.499363,17.375000,0.000749,0.027547,0.386610,-30.205743,3.141841
0.020000,12.498124,17.374999,0.001988,0.061948,1.720049,66.671973,3.142325
0.020000,12.495923,17.374997,0.004188,0.110018,2.403529,34.174006,3.143187
0.020000,12.492628,17.374989,0.007484,0.164760,2.737091,16.678111,3.144485
0.020000,12.488245,17.374973,0.011867,0.219178,2.720909,-0.809111,3.146225
0.020000,12.482782,17.374942,0.017330,0.273160,2.699089,-1.091022,3.148414
0.020000,12.476250,17.374888,0.023862,0.326588,2.671417,-1.383590,3.151062
0.020000,12.468664,17.374805,0.031449,0.379341,2.637623,-1.689717,3.154181
0.020000,12.460039,17.374681,0.040075,0.431288,2.597371,-2.012603,3.157786
0.020000,12.450395,17.374505,0.049721,0.482294,2.550263,-2.355367,3.161893
0.020000,12.439753,17.374264,0.060365,0.532210,2.495825,-2.721904,3.166522
0.020000,12.428140,17.373945,0.071982,0.580880,2.433511,-3.115728,3.171695
0.020000,12.415584,17.373531,0.084545,0.628134,2.362686,-3.541215,3.177436
0.020000,12.402119,17.373005,0.098021,0.673787,2.282632,-4.002734,3.183775
0.020000,12.387781,17.372350,0.112374,0.717637,2.192525,-4.505312,3.190744
0.020000,12.372613,17.371547,0.127563,0.759466,2.091450,-5.053793,3.198377
0.020000,12.356662,17.370573,0.143544,0.799034,1.978372,-5.653865,3.206717
0.020000,12.339981,17.369410,0.160265,0.836077,1.852150,-6.311115,3.215807
0.020000,12.322629,17.368034,0.177671,0.870307,1.711529,-7.031037,3.225697
0.020000,12.304673,17.366424,0.195699,0.901410,1.555144,-7.819266,3.236443
0.020000,12.286186,17.364557,0.214280,0.929041,1.381534,-8.680482,3.248108
0.020000,12.267251,17.362413,0.233337,0.952824,1.189171,-9.618159,3.260758
0.020000,12.247958,17.359970,0.252784,0.972354,0.976493,-10.633892,3.274470
0.020000,12.228407,17.357210,0.272528,0.987194,0.741983,-11.725522,3.289328
0.020000,12.208711,17.354119,0.292465,0.996879,0.484262,-12.886064,3.305422
0.020000,12.188989,17.350684,0.312484,1.000924,0.202252,-14.100472,3.322853
0.020000,12.169374,17.346900,0.332460,0.998832,-0.104609,-15.343064,3.341731
0.020000,12.150008,17.342768,0.352263,0.990111,-0.436056,-16.572331,3.362172
0.020000,12.131042,17.338298,0.371749,0.974299,-0.790570,-17.725709,3.384304
0.020000,12.112634,17.333510,0.390769,0.951003,-1.164815,-18.712251,3.408259
0.020000,12.094949,17.328437,0.409168,0.919945,-1.552906,-19.404546,3.434175
0.020000,12.078148,17.323124,0.426788,0.881035,-1.945505,-19.629942,3.462191
0.020000,12.062389,17.317631,0.443477,0.834459,-2.328768,-19.163187,3.492445
0.020000,12.047811,17.312031,0.459093,0.780795,-2.683226,-17.722862,3.525061
0.020000,12.034530,17.306407,0.473516,0.721139,-2.982767,-14.977044,3.560148
0.020000,12.022620,17.300846,0.486661,0.657259,-3.194046,-10.563979,3.597778
0.020000,12.012099,17.295426,0.498496,0.591723,-3.276782,-4.136781,3.637983
0.020000,12.002920,17.290205,0.509056,0.528012,-3.185538,4.562172,3.680730
0.020000,11.994952,17.285197,0.518467,0.470540,-2.873624,15.595736,3.725907
0.020000,11.987980,17.280351,0.526958,0.424551,-2.299445,28.708929,3.773311
0.020000,11.981707,17.275521,0.534875,0.395850,-1.435039,43.220306,3.822634
0.020000,11.975768,17.270454,0.542682,0.390341,-0.275432,57.980367,3.873464
0.020000,11.969764,17.264769,0.550950,0.413414,1.153640,71.453566,3.925293
0.020000,11.963296,17.257968,0.560335,0.469269,2.792721,81.954062,3.977538
0.020000,11.956009,17.249454,0.571542,0.560325,4.552798,88.003849,4.029573
0.020000,11.947628,17.238570,0.585279,0.686864,6.326965,88.708366,4.080767
0.020000,11.937982,17.224644,0.602219,0.847006,8.007115,84.007509,4.130523
0.020000,11.927018,17.207039,0.622960,1.037027,9.501017,74.695101,4.178310
0.020000,11.914784,17.185192,0.647998,1.251926,10.744982,62.198250,4.223685
0.020000,11.901414,17.158647,0.677720,1.486110,11.709216,48.211659,4.266305
0.020000,11.887098,17.127059,0.712401,1.734026,12.395794,34.328923,4.305928
0.020000,11.872051,17.090199,0.752214,1.990656,12.831488,21.784675,4.342397
0.020000,11.856490,17.047936,0.797251,2.251826,13.058502,11.350697,4.375632
0.020000,11.840613,17.000222,0.847537,2.514341,13.125765,3.363155,4.405610
0.020000,11.824581,16.947067,0.903057,2.775987,13.082283,-2.174074,4.432345
0.020000,11.808514,16.888523,0.963766,3.035447,12.972998,-5.464281,4.455877
0.020000,11.792484,16.824660,1.029610,3.292184,12.836858,-6.806982,4.476254
0.020000,11.776512,16.755556,1.100536,3.546315,12.706528,-6.516476,4.493522
0.020000,11.760568,16.681278,1.176506,3.798497,12.609110,-4.870943,4.507717
0.020000,11.744573,16.601876,1.257503,4.049845,12.567393,-2.085849,4.518852
0.020000,11.728390,16.517374,1.343540,4.301871,12.601320,1.696358,4.526916
0.020000,11.711832,16.427762,1.434670,4.556460,12.729458,6.406931,4.531863
0.020000,11.694648,16.332990,1.530987,4.815868,12.970392,12.046706,4.533607
0.020000,11.676519,16.232964,1.632642,5.082748,13.343976,18.679153,4.532016
0.020000,11.657047,16.127544,1.739846,5.360195,13.872385,26.420484,4.526902
0.020000,11.635738,16.016534,1.852882,5.651813,14.580855,35.423492,4.518012
0.020000,11.611983,15.899689,1.972117,5.961769,15.497813,45.847894,4.505020
0.020000,11.585024,15.776712,2.098014,6.294846,16.653879,57.803294,4.487515
0.020000,11.553922,15.647268,2.231143,6.656420,18.078695,71.240794,4.464990
0.020000,11.517510,15.511003,2.372189,7.052296,19.793768,85.753682,4.436835
0.020000,11.474337,15.367595,2.521954,7.488263,21.798375,100.230322,4.402336
0.020000,11.422620,15.216836,2.681337,7.969148,24.044268,112.294650,4.360693
0.020000,11.360206,15.058772,2.851278,8.497040,26.394601,117.516650,4.311069
0.020000,11.284588,14.893921,3.032645,9.068363,28.566126,108.576243,4.252690
