dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.499838,19.625000,0.000198,0.019814,0.990725,49.536228,3.141626
0.020000,12.498804,19.625000,0.001232,0.051711,1.594840,30.205748,3.141841
0.020000,12.496476,19.624999,0.003560,0.116383,3.233574,81.936700,3.142325
0.020000,12.492336,19.624994,0.007700,0.207014,4.531542,64.898430,3.143187
0.020000,12.486120,19.624980,0.013916,0.310788,5.188703,32.858049,3.144485
0.020000,12.477822,19.624949,0.022214,0.414885,5.204885,0.809101,3.146225
0.020000,12.467434,19.624889,0.032602,0.519419,5.226704,1.090953,3.148414
0.020000,12.454945,19.624788,0.045092,0.624507,5.254373,1.383465,3.151062
0.020000,12.440340,19.624626,0.059698,0.730270,5.288166,1.689616,3.154181
0.020000,12.423605,19.624386,0.076434,0.836838,5.328412,2.012335,3.157786
0.020000,12.404721,19.624041,0.095321,0.944349,5.375519,2.355328,3.161893
0.020000,12.383668,19.623565,0.116380,1.052948,5.429950,2.721536,3.166522
0.020000,12.360421,19.622925,0.139636,1.162793,5.492259,3.115464,3.171695
0.020000,12.334953,19.622085,0.165117,1.274055,5.563076,3.540851,3.177436
0.020000,12.307236,19.621004,0.192856,1.386917,5.643125,4.002437,3.183775
0.020000,12.277236,19.619633,0.222887,1.501581,5.733218,4.504639,3.190744
0.020000,12.244916,19.617920,0.255253,1.618267,5.834283,5.053250,3.198377
0.020000,12.210236,19.615804,0.289997,1.737214,5.947346,5.653185,3.206717
0.020000,12.173152,19.613217,0.327171,1.858685,6.073549,6.310129,3.215807
0.020000,12.133617,19.610081,0.366830,1.982968,6.214150,7.030079,3.225697
0.020000,12.091578,19.606310,0.409038,2.110378,6.370510,7.817985,3.236443
0.020000,12.046980,19.601806,0.453863,2.241260,6.544087,8.678847,3.248108
0.020000,11.999762,19.596456,0.501383,2.375988,6.736415,9.616381,3.260758
0.020000,11.949862,19.590136,0.551682,2.514969,6.949046,10.631577,3.274470
0.020000,11.897211,19.582701,0.604855,2.658639,7.183504,11.722893,3.289328
0.020000,11.841742,19.573991,0.661004,2.807462,7.441157,12.882670,3.305422
0.020000,11.783382,19.563823,0.720242,2.961924,7.723089,14.096601,3.322853
0.020000,11.722064,19.551988,0.782693,3.122521,8.029855,15.338254,3.341731
0.020000,11.657718,19.538253,0.848488,3.289745,8.361186,16.566582,3.362172
0.020000,11.590287,19.522351,0.917769,3.464056,8.715563,17.718823,3.384304
0.020000,11.519721,19.503984,0.990686,3.645849,9.089645,18.704133,3.408259
0.020000,11.445991,19.482817,1.067394,3.835400,9.477544,19.394947,3.434175
0.020000,11.369095,19.458479,1.148050,4.032798,9.869920,19.618806,3.462191
0.020000,11.289068,19.430561,1.232807,4.237857,10.252928,19.150361,3.492445
0.020000,11.205997,19.398619,1.321807,4.449999,10.607101,17.708693,3.525061
0.020000,11.120039,19.362181,1.415169,4.668126,10.906334,14.961638,3.560148
0.020000,11.031434,19.320759,1.512979,4.890472,11.117298,10.548185,3.597778
0.020000,10.940526,19.273867,1.615268,5.114466,11.199728,4.121497,3.637983
0.020000,10.847779,19.221047,1.722001,5.336631,11.108224,-4.575175,3.680730
0.020000,10.753790,19.161901,1.833052,5.552553,10.796132,-15.604591,3.725907
