dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.000213,18.375000,0.000200,0.019991,0.999549,49.977471,0.000074
0.020000,20.001527,18.375000,0.001515,0.065738,2.287349,64.389982,0.000532
0.020000,20.004487,18.375004,0.004475,0.147999,4.113075,91.286293,0.001564
0.020000,20.009756,18.375017,0.009743,0.263415,5.770780,82.885236,0.003403
0.020000,20.017673,18.375055,0.017660,0.395857,6.622087,42.565379,0.006176
0.020000,20.028256,18.375140,0.028244,0.529186,6.666454,2.218330,0.009898
0.020000,20.041529,18.375302,0.041518,0.663709,6.726135,2.984042,0.014589
0.020000,20.057522,18.375581,0.057513,0.799740,6.801562,3.771368,0.020277
0.020000,20.076268,18.376024,0.076265,0.937605,6.893244,4.584115,0.026995
0.020000,20.097811,18.376689,0.097818,1.077640,7.001761,5.425842,0.034780
0.020000,20.122196,18.377646,0.122222,1.220194,7.127720,6.297946,0.043678
0.020000,20.149476,18.378976,0.149534,1.365629,7.271715,7.199749,0.053740
0.020000,20.179709,18.380773,0.179820,1.514314,7.434265,8.127510,0.065024
0.020000,20.212957,18.383147,0.213153,1.666628,7.615722,9.072840,0.077594
0.020000,20.249286,18.386226,0.249612,1.822952,7.816173,10.022526,0.091522
0.020000,20.288764,18.390155,0.289285,1.983657,8.035255,10.954128,0.106885
0.020000,20.331460,18.395100,0.332267,2.149096,8.271970,11.835751,0.123768
0.020000,20.377443,18.401251,0.378659,2.319585,8.524411,12.622062,0.142261
0.020000,20.426772,18.408825,0.428566,2.495373,8.789418,13.250344,0.162457
0.020000,20.479501,18.418062,0.482099,2.676617,9.062186,13.638396,0.184453
0.020000,20.535667,18.429235,0.539365,2.863332,9.335766,13.679006,0.208348
0.020000,20.595285,18.442646,0.600472,3.055343,9.600554,13.239389,0.234235
0.020000,20.658336,18.458624,0.665516,3.252218,9.843769,12.160732,0.262201
0.020000,20.724763,18.477526,0.734580,3.453199,10.049004,10.261756,0.292319
0.020000,20.794454,18.499730,0.807723,3.657119,10.196047,7.352143,0.324641
0.020000,20.867230,18.525628,0.884970,3.862341,10.261084,3.251866,0.359190
0.020000,20.942836,18.555610,0.966303,4.066693,10.217590,-2.174687,0.395952
0.020000,21.020927,18.590052,1.051653,4.267455,10.038104,-8.974315,0.434861
0.020000,21.101064,18.629290,1.140880,4.461396,9.697052,-17.052576,0.475798
0.020000,21.182715,18.673597,1.233778,4.644887,9.174550,-26.125115,0.518575
0.020000,21.265259,18.723162,1.330060,4.814103,8.460819,-35.686559,0.562941
0.020000,21.348010,18.778063,1.429367,4.965311,7.560362,-45.022842,0.608573
0.020000,21.430239,18.838253,1.531271,5.095207,6.494840,-53.276083,0.655094
0.020000,21.511215,18.903553,1.635296,5.201276,5.303450,-59.569501,0.702079
0.020000,21.590243,18.973659,1.740938,5.282078,4.040088,-63.168132,0.749079
0.020000,21.666697,19.048157,1.847686,5.337427,2.767413,-63.633742,0.795641
0.020000,21.740056,19.126556,1.955054,5.368405,1.548915,-60.924918,0.841332
0.020000,21.809923,19.208314,2.062599,5.377221,0.440788,-55.406324,0.885758
0.020000,21.876030,19.292880,2.169937,5.366930,-0.514506,-47.764688,0.928579
0.020000,21.938236,19.379721,2.276759,5.341096,-1.291722,-38.860838,0.969519
0.020000,21.996515,19.468344,2.382828,5.303435,-1.883057,-29.566755,1.008366
0.020000,22.050934,19.558318,2.487978,5.257520,-2.295719,-20.633093,1.044975
0.020000,22.101633,19.649273,2.592110,5.206562,-2.547939,-12.610958,1.079256
0.020000,22.148807,19.740909,2.695175,5.153270,-2.664586,-5.832355,1.111167
0.020000,22.192683,19.832986,2.797171,5.099805,-2.673246,-0.433013,1.140706
0.020000,22.233510,19.925318,2.898127,5.047780,-2.601234,3.600596,1.167897
0.020000,22.271542,20.017766,2.998093,4.998307,-2.473652,6.379074,1.192787
0.020000,22.307035,20.110229,3.097134,4.952060,-2.312385,8.063381,1.215433
0.020000,22.340239,20.202632,3.195321,4.909344,-2.135794,8.829534,1.235897
0.020000,22.371392,20.294918,3.292724,4.870166,-1.958897,8.844839,1.254243
0.020000,22.400726,20.387047,3.389410,4.834290,-1.793815,8.254137,1.270530
0.020000,22.428458,20.478981,3.485436,4.801283,-1.650346,7.173436,1.284807
0.020000,22.454796,20.570685,3.580847,4.770551,-1.536590,5.687791,1.297117
0.020000,22.479937,20.662118,3.675674,4.741360,-1.459546,3.852224,1.307486
0.020000,22.504072,20.753233,3.769931,4.712846,-1.425689,1.692821,1.315926
0.020000,22.527381,20.843967,3.863611,4.684016,-1.441521,-0.791605,1.322433
0.020000,22.550041,20.934242,3.956686,4.653734,-1.514100,-3.628930,1.326979
0.020000,22.572221,21.023954,4.049100,4.620702,-1.651591,-6.874580,1.329516
0.020000,22.594089,21.112976,4.140768,4.583425,-1.863861,-10.613473,1.329969
0.020000,22.615806,21.201144,4.231572,4.540162,-2.163145,-14.964203,1.328231
0.020000,22.637530,21.288254,4.321349,4.488865,-2.564842,-20.084826,1.324160
0.020000,22.659364,21.373874,4.409709,4.418021,-3.542190,-48.867431,1.317586
0.020000,22.681360,21.457369,4.496053,4.317197,-5.041197,-74.950326,1.308330
0.020000,22.703548,21.538090,4.579768,4.185716,-6.574062,-76.643258,1.296205
0.020000,22.725895,21.615264,4.660112,4.017243,-8.423671,-92.480460,1.281030
0.020000,22.748325,21.688135,4.736357,3.812223,-10.250995,-91.366209,1.262635
0.020000,22.770735,21.756067,4.807890,3.576661,-11.778092,-76.354858,1.240832
0.020000,22.792955,21.818450,4.874112,3.311102,-13.277956,-74.993192,1.215444
0.020000,22.814771,21.874802,4.934540,3.021373,-14.486443,-60.424352,1.186273
0.020000,22.835934,21.924795,4.988828,2.714406,-15.348355,-43.095592,1.153066
0.020000,22.856125,21.968166,5.036668,2.392011,-16.119752,-38.569837,1.115550
0.020000,22.874934,22.004712,5.077771,2.055131,-16.843959,-36.210377,1.073467
0.020000,22.891880,22.034341,5.111904,1.706662,-17.423485,-28.976290,1.026610
0.020000,22.906440,22.057130,5.138946,1.352126,-17.726782,-15.164825,0.974872
0.020000,22.918099,22.073387,5.158952,1.000276,-17.592494,6.714402,0.918300
0.020000,22.926443,22.083701,5.172218,0.663319,-16.847843,37.232546,0.857159
0.020000,22.931257,22.088957,5.179346,0.356403,-15.345838,75.100216,0.791982
0.020000,22.932634,22.090297,5.181267,0.096032,-13.018535,116.365147,0.723597
0.020000,22.931037,22.089007,5.183319,0.102616,0.329188,667.386181,0.653102
0.020000,22.927300,22.086367,5.187895,0.228777,6.308043,298.942746,0.581785
0.020000,22.922534,22.083471,5.193472,0.278836,2.502961,-190.254097,0.510999
0.020000,22.917966,22.081107,5.198616,0.257214,-1.081094,-179.202739,0.442019
0.020000,22.914754,22.079703,5.202121,0.175270,-4.097195,-150.805090,0.375919
0.020000,22.913844,22.079361,5.203093,0.048602,-6.333405,-111.810466,0.313492
0.020000,22.915886,22.079940,5.205216,0.106139,2.876872,460.513850,0.255238
0.020000,22.921223,22.081163,5.210691,0.273766,8.381350,275.223864,0.201386
0.020000,22.929931,22.082700,5.219534,0.442121,8.417743,1.819678,0.151948
0.020000,22.941881,22.084239,5.231583,0.602464,8.017133,-20.030509,0.106783
0.020000,22.956811,22.085515,5.246567,0.749209,7.337277,-33.992820,0.065649
0.020000,22.974379,22.086327,5.264153,0.879309,6.504961,-41.615794,0.028248
0.020000,22.994209,22.086539,5.283985,0.991560,5.612552,-44.620430,6.277450
0.020000,23.015923,22.086070,5.305705,1.085998,4.721929,-44.531153,6.246568
0.020000,23.039162,22.084883,5.328973,1.163421,3.871128,-42.540062,6.218483
0.020000,23.063588,22.082979,5.353474,1.225042,3.081051,-39.503830,6.192915
0.020000,23.088901,22.080384,5.378919,1.272263,2.361053,-35.999904,6.169608
0.020000,23.114830,22.077142,5.405050,1.306526,1.713172,-32.394057,6.148332
0.020000,23.141136,22.073307,5.431634,1.329228,1.135081,-28.904559,6.128881
0.020000,23.167612,22.068943,5.458468,1.341670,0.622097,-25.649195,6.111072
0.020000,23.194077,22.064117,5.485368,1.345039,0.168434,-22.683161,6.094745
0.020000,23.220371,22.058895,5.512176,1.340399,-0.231994,-20.021402,6.079757
0.020000,23.246359,22.053345,5.538750,1.328696,-0.585135,-17.657032,6.065983
0.020000,23.271922,22.047532,5.564966,1.310765,-0.896543,-15.570380,6.053311
0.020000,23.296956,22.041518,5.590712,1.287340,-1.171267,-13.736236,6.041645
0.020000,23.321373,22.035362,5.615894,1.259063,-1.413823,-12.127773,6.030897
0.020000,23.345096,22.029120,5.640424,1.226500,-1.628187,-10.718214,6.020992
0.020000,23.368057,22.022845,5.664226,1.190143,-1.817848,-9.483059,6.011862
0.020000,23.390197,22.016584,5.687235,1.150426,-1.985841,-8.399631,6.003448
0.020000,23.411466,22.010384,5.709390,1.107730,-2.134800,-7.447977,5.995696
0.020000,23.431820,22.004287,5.730637,1.062390,-2.267005,-6.610242,5.988560
0.020000,23.451220,21.998329,5.750931,1.014701,-2.384430,-5.871241,5.981997
0.020000,23.469633,21.992549,5.770230,0.964925,-2.488776,-5.217317,5.975971
0.020000,23.487028,21.986977,5.788496,0.913295,-2.581517,-4.637034,5.970449
0.020000,23.503381,21.981643,5.805696,0.860017,-2.663921,-4.120198,5.965401
0.020000,23.518668,21.976576,5.821802,0.805275,-2.737087,-3.658295,5.960802
0.020000,23.532871,21.971798,5.836786,0.749236,-2.801961,-3.243699,5.956628
0.020000,23.545972,21.967333,5.850627,0.692049,-2.859358,-2.869849,5.952859
0.020000,23.557957,21.963201,5.863304,0.633849,-2.909984,-2.531325,5.949477
0.020000,23.568812,21.959420,5.874799,0.574760,-2.954444,-2.222957,5.946466
0.020000,23.578527,21.956004,5.885097,0.514895,-2.993256,-1.940622,5.943812
0.020000,23.587092,21.952969,5.894184,0.454358,-3.026862,-1.680293,5.941504
0.020000,23.594500,21.950327,5.902049,0.393245,-3.055641,-1.438939,5.939530
0.020000,23.600743,21.948087,5.908682,0.331647,-3.079905,-1.213234,5.937884
0.020000,23.605817,21.946258,5.914075,0.269648,-3.099919,-1.000689,5.936556
0.020000,23.609716,21.944847,5.918222,0.207330,-3.115897,-0.798904,5.935543
0.020000,23.612438,21.943860,5.921117,0.144770,-3.128004,-0.605318,5.934838
0.020000,23.614082,21.943262,5.922867,0.087496,-2.863721,13.214129,5.934414
0.020000,23.614899,21.942965,5.923736,0.043441,-2.202726,33.049738,5.934204
0.020000,23.615182,21.942862,5.924037,0.015068,-1.418664,39.203134,5.934131
0.020000,23.615227,21.942846,5.924085,0.002404,-0.633232,39.271571,5.934119
0.020000,23.615227,21.942846,5.924085,0.000000,-0.120176,25.652813,5.934119
