dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000164,-1.125000,0.000199,0.019901,0.995043,49.752151,0.000000
0.020000,0.000960,-1.125000,0.000995,0.039802,0.995043,-0.000000,0.000000
0.020000,0.002751,-1.125000,0.002786,0.089554,2.487608,74.628227,0.000000
0.020000,0.005935,-1.125000,0.005970,0.159207,3.482651,49.752151,0.000000
0.020000,0.010910,-1.125000,0.010945,0.248761,4.477694,49.752151,0.000000
0.020000,0.017876,-1.125000,0.017911,0.348265,4.975215,24.876076,0.000000
0.020000,0.026831,-1.125000,0.026866,0.447769,4.975215,0.000000,0.000000
0.020000,0.037777,-1.125000,0.037812,0.547274,4.975215,-0.000000,0.000000
0.020000,0.050712,-1.125000,0.050747,0.646778,4.975215,0.000000,0.000000
0.020000,0.065638,-1.125000,0.065673,0.746282,4.975215,-0.000000,0.000000
0.020000,0.082554,-1.125000,0.082589,0.845787,4.975215,0.000000,0.000000
0.020000,0.101459,-1.125000,0.101494,0.945291,4.975215,-0.000000,0.000000
0.020000,0.122355,-1.125000,0.122390,1.044795,4.975215,-0.000000,0.000000
0.020000,0.145241,-1.125000,0.145276,1.144299,4.975215,0.000000,0.000000
0.020000,0.170117,-1.125000,0.170152,1.243804,4.975215,0.000000,0.000000
0.020000,0.196984,-1.125000,0.197019,1.343308,4.975215,0.000000,0.000000
0.020000,0.225840,-1.125000,0.225875,1.442812,4.975215,0.000000,0.000000
0.020000,0.256686,-1.125000,0.256721,1.542317,4.975215,0.000000,0.000000
0.020000,0.289523,-1.125000,0.289558,1.641821,4.975215,-0.000000,0.000000
0.020000,0.324349,-1.125000,0.324384,1.741325,4.975215,-0.000000,0.000000
0.020000,0.361166,-1.125000,0.361201,1.840830,4.975215,0.000000,0.000000
0.020000,0.399972,-1.125000,0.400007,1.940334,4.975215,-0.000000,0.000000
0.020000,0.440769,-1.125000,0.440804,2.039838,4.975215,-0.000000,0.000000
0.020000,0.483556,-1.125000,0.483591,2.139343,4.975215,-0.000000,0.000000
0.020000,0.528333,-1.125000,0.528368,2.238847,4.975215,0.000000,0.000000
0.020000,0.575100,-1.125000,0.575135,2.338351,4.975215,-0.000000,0.000000
0.020000,0.623857,-1.125000,0.623892,2.437855,4.975215,0.000000,0.000000
0.020000,0.674604,-1.125000,0.674639,2.537360,4.975215,-0.000000,0.000000
0.020000,0.727341,-1.125000,0.727376,2.636864,4.975215,0.000000,0.000000
0.020000,0.782069,-1.125000,0.782104,2.736368,4.975215,-0.000000,0.000000
0.020000,0.838786,-1.125000,0.838821,2.835873,4.975215,0.000000,0.000000
0.020000,0.897494,-1.125000,0.897529,2.935377,4.975215,0.000000,0.000000
0.020000,0.958191,-1.125000,0.958226,3.034881,4.975215,-0.000000,0.000000
0.020000,1.020879,-1.125000,1.020914,3.134386,4.975215,0.000000,0.000000
0.020000,1.085557,-1.125000,1.085592,3.233890,4.975215,0.000000,0.000000
0.020000,1.152225,-1.125000,1.152260,3.333394,4.975215,-0.000000,0.000000
0.020000,1.220883,-1.125000,1.220918,3.432898,4.975215,0.000000,0.000000
0.020000,1.291531,-1.125000,1.291566,3.532403,4.975215,0.000000,0.000000
0.020000,1.364169,-1.125000,1.364204,3.631907,4.975215,0.000000,0.000000
0.020000,1.438797,-1.125000,1.438832,3.731411,4.975215,-0.000000,0.000000
0.020000,1.515217,-1.125000,1.515252,3.820965,4.477694,-24.876076,0.000000
0.020000,1.593029,-1.125000,1.593064,3.890618,3.482651,-49.752151,0.000000
0.020000,1.671836,-1.125000,1.671871,3.940370,2.487608,-49.752151,0.000000
0.020000,1.751234,-1.125000,1.751269,3.969907,1.476837,-50.538542,0.000000
0.020000,1.830620,-1.125000,1.830655,3.969278,-0.031456,-75.414617,0.000000
0.020000,1.909396,-1.125000,1.909431,3.938798,-1.524020,-74.628227,0.000000
0.020000,1.987164,-1.125000,1.987199,3.888416,-2.519063,-49.752151,0.000000
0.020000,2.063527,-1.125000,2.063562,3.818134,-3.514106,-49.752151,0.000000
0.020000,2.138092,-1.125000,2.138127,3.728266,-4.493421,-48.965761,0.000000
0.020000,2.210668,-1.125000,2.210703,3.628761,-4.975215,-24.089685,0.000000
0.020000,2.281253,-1.125000,2.281288,3.529257,-4.975215,0.000000,0.000000
0.020000,2.349848,-1.125000,2.349883,3.429753,-4.975215,0.000000,0.000000
0.020000,2.416453,-1.125000,2.416488,3.330249,-4.975215,-0.000000,0.000000
0.020000,2.481068,-1.125000,2.481103,3.230744,-4.975215,0.000000,0.000000
0.020000,2.543692,-1.125000,2.543727,3.131240,-4.975215,0.000000,0.000000
