dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.003292,6.732001,0.003704,0.148148,2.962963,59.259259,0.000453
0.050000,6.013383,6.732012,0.013795,0.201819,1.073411,-37.791038,0.001847
0.050000,6.030191,6.732063,0.030603,0.336175,2.687117,32.274120,0.004183
0.050000,6.053703,6.732200,0.054115,0.470242,2.681344,-0.115455,0.007480
0.050000,6.083897,6.732490,0.084310,0.603897,2.673112,-0.164648,0.011768
0.050000,6.120743,6.733022,0.121161,0.737011,2.662265,-0.216942,0.017082
0.050000,6.164206,6.733903,0.164633,0.869440,2.648597,-0.273361,0.023470
0.050000,6.214240,6.735265,0.214685,1.001033,2.631846,-0.335016,0.030989
0.050000,6.270785,6.737263,0.271265,1.131617,2.611689,-0.403147,0.039708
0.050000,6.333772,6.740079,0.334316,1.261004,2.587732,-0.479125,0.049707
0.050000,6.403115,6.743922,0.403765,1.388979,2.559509,-0.564468,0.061085
0.050000,6.478708,6.749031,0.479530,1.515303,2.526468,-0.660824,0.073953
0.050000,6.560423,6.755677,0.561515,1.639701,2.487971,-0.769942,0.088444
0.050000,6.648106,6.764166,0.649608,1.761866,2.443291,-0.893590,0.104708
0.050000,6.741571,6.774843,0.743680,1.881447,2.391622,-1.033375,0.122924
0.050000,6.840591,6.788092,0.843583,1.998052,2.332100,-1.190453,0.143293
0.050000,6.944895,6.804343,0.949145,2.111244,2.263849,-1.365011,0.166050
0.050000,7.054155,6.824070,1.060173,2.220548,2.186078,-1.555432,0.191459
0.050000,7.167982,6.847794,1.176446,2.325460,2.098230,-1.756957,0.219819
0.050000,7.285910,6.876086,1.297719,2.425472,2.000245,-1.959690,0.251467
0.050000,7.407387,6.909563,1.423725,2.520120,1.892962,-2.145668,0.286766
0.050000,7.531773,6.948885,1.554178,2.609056,1.778713,-2.284979,0.326108
0.050000,7.658325,6.994754,1.688786,2.692163,1.662156,-2.331135,0.369889
0.050000,7.786207,7.047902,1.827273,2.769729,1.551312,-2.216884,0.418487
0.050000,7.914496,7.109087,1.969406,2.842662,1.458649,-1.853266,0.472219
0.050000,8.042206,7.179091,2.115043,2.912751,1.401792,-1.137133,0.531276
0.050000,8.168319,7.258713,2.264188,2.982904,1.403065,0.025462,0.595655
0.050000,8.289648,7.347079,2.414286,3.001955,0.381018,-20.440941,0.663788
0.050000,8.403610,7.442792,2.563109,2.976447,-0.510156,-17.823486,0.733661
0.050000,8.510157,7.545891,2.711371,2.965243,-0.224083,5.721455,0.804299
0.050000,8.609301,7.656404,2.859839,2.969362,0.082365,6.128967,0.874656
0.050000,8.701081,7.774316,3.009260,2.988424,0.381243,5.977566,0.943712
0.050000,8.784734,7.898258,3.158791,2.990621,0.043947,-6.745923,1.009914
0.050000,8.859143,8.025319,3.306036,2.944909,-0.914241,-19.163765,1.071477
0.050000,8.924363,8.153434,3.449797,2.875207,-1.394032,-9.595820,1.127687
0.050000,8.981184,8.281597,3.589991,2.803879,-1.426574,-0.650834,1.178655
0.050000,9.030374,8.408852,3.726422,2.728634,-1.504899,-1.566502,1.224648
0.050000,9.072679,8.534321,3.858832,2.648183,-1.609019,-2.082410,1.266020
0.050000,9.108814,8.657218,3.986931,2.561978,-1.724093,-2.301470,1.303164
0.050000,9.139462,8.776853,4.110429,2.469971,-1.840141,-2.320957,1.336475
0.050000,9.165259,8.892635,4.229050,2.372418,-1.951067,-2.218514,1.366333
0.050000,9.186797,9.004059,4.342537,2.269740,-2.053564,-2.049940,1.393085
0.050000,9.204621,9.110702,4.450658,2.162431,-2.146179,-1.852319,1.417050
0.050000,9.219228,9.212206,4.553208,2.051000,-2.228613,-1.648674,1.438507
0.050000,9.231066,9.308276,4.650005,1.935939,-2.301227,-1.452272,1.457704
0.050000,9.240542,9.398666,4.740891,1.817702,-2.364725,-1.269973,1.474859
0.050000,9.248017,9.483171,4.825726,1.696704,-2.419959,-1.104676,1.490160
0.050000,9.253816,9.561623,4.904391,1.573314,-2.467805,-0.956913,1.503771
0.050000,9.258226,9.633882,4.976784,1.447859,-2.509100,-0.825897,1.515831
0.050000,9.261502,9.699832,5.042816,1.320629,-2.544610,-0.710196,1.526462
0.050000,9.263864,9.759379,5.102410,1.191878,-2.575014,-0.608083,1.535769
0.050000,9.265509,9.812445,5.155501,1.061833,-2.600903,-0.517793,1.543840
0.050000,9.266602,9.858967,5.202036,0.930694,-2.622784,-0.437622,1.550748
0.050000,9.267286,9.898893,5.241968,0.798639,-2.641084,-0.365986,1.556558
0.050000,9.267680,9.932182,5.275260,0.665832,-2.656156,-0.301452,1.561319
0.050000,9.267883,9.958802,5.301880,0.532417,-2.668292,-0.242713,1.565074
0.050000,9.267969,9.978729,5.321807,0.398531,-2.677722,-0.188610,1.567855
0.050000,9.267996,9.991944,5.335022,0.264300,-2.684626,-0.138068,1.569686
0.050000,9.268000,9.998436,5.341514,0.129843,-2.689132,-0.090124,1.570581
0.050000,9.268000,10.000000,5.343078,0.031285,-1.971153,14.359575,1.570796
0.050000,9.268000,10.000000,5.343078,0.000000,-0.625707,26.908923,1.570796
