dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.003955,5.268001,0.003704,0.148148,2.962963,59.259259,0.000453
0.050000,6.016087,5.268015,0.015835,0.242626,1.889551,-21.468235,0.001847
0.050000,6.036315,5.268076,0.036063,0.404566,3.238806,26.985101,0.004183
0.050000,6.064654,5.268241,0.064403,0.566795,3.244576,0.115387,0.007480
0.050000,6.101124,5.268592,0.100875,0.729435,3.252803,0.164547,0.011768
0.050000,6.145751,5.269235,0.145506,0.892617,3.263643,0.216806,0.017082
0.050000,6.198564,5.270306,0.198330,1.056482,3.277302,0.273175,0.023470
0.050000,6.259600,5.271968,0.259389,1.221184,3.294041,0.334775,0.030989
0.050000,6.328902,5.274417,0.328734,1.386893,3.314182,0.402834,0.039708
0.050000,6.406514,5.277888,0.406424,1.553799,3.338119,0.478723,0.049707
0.050000,6.492488,5.282653,0.492529,1.722115,3.366316,0.563947,0.061085
0.050000,6.586877,5.289033,0.587133,1.892081,3.399323,0.660151,0.073953
0.050000,6.689736,5.297399,0.690332,2.063970,3.437777,0.769079,0.088444
0.050000,6.801119,5.308184,0.802236,2.238090,3.482401,0.892471,0.104708
0.050000,6.921078,5.321889,0.922976,2.414790,3.533997,1.031928,0.122924
0.050000,7.049655,5.339097,1.052699,2.594461,3.593426,1.188575,0.143293
0.050000,7.186876,5.360480,1.191576,2.777539,3.661555,1.362576,0.166050
0.050000,7.332741,5.386821,1.339801,2.964498,3.739168,1.552269,0.191459
0.050000,7.487212,5.419023,1.497593,3.155838,3.826812,1.752867,0.219819
0.050000,7.650189,5.458131,1.665196,3.352065,3.924533,1.954416,0.251467
0.050000,7.821483,5.505348,1.842878,3.553639,4.031479,2.138931,0.286766
0.050000,8.000777,5.562043,2.030923,3.760904,4.145304,2.276490,0.326108
0.050000,8.187578,5.629768,2.229622,3.973971,4.261337,2.320671,0.369889
0.050000,8.381145,5.710238,2.439249,4.192549,4.371558,2.204414,0.418487
0.050000,8.580416,5.805306,2.660035,4.415724,4.463515,1.839150,0.472219
0.050000,8.783918,5.916887,2.892121,4.641706,4.519636,1.122420,0.531276
0.050000,8.989698,6.046842,3.135500,4.867591,4.517698,-0.038760,0.595655
0.050000,9.191626,6.193939,3.385325,4.996497,2.578113,-38.791701,0.663788
0.050000,9.383894,6.355438,3.636421,5.021924,0.508552,-41.391217,0.733661
0.050000,9.564741,6.530437,3.888076,5.033093,0.223366,-5.703726,0.804299
0.050000,9.732662,6.717598,4.139525,5.028988,-0.082100,-6.109330,0.874656
0.050000,9.886543,6.915261,4.390025,5.009986,-0.380032,-5.958643,0.943712
0.050000,10.024428,7.119508,4.636457,4.928659,-1.626548,-24.930309,1.009914
0.050000,10.144401,7.324315,4.873817,4.747181,-3.629555,-40.060139,1.071477
0.050000,10.246974,7.525743,5.099858,4.520827,-4.527070,-17.950293,1.127687
0.050000,10.334056,7.722103,5.314661,4.296065,-4.495246,0.636476,1.178655
0.050000,10.407539,7.912151,5.518420,4.075183,-4.417649,1.551932,1.224648
0.050000,10.469209,8.095005,5.711394,3.859473,-4.314194,2.069095,1.266020
0.050000,10.520696,8.270065,5.893868,3.649488,-4.199692,2.290055,1.303164
0.050000,10.563454,8.436938,6.066132,3.445283,-4.084113,2.311565,1.336475
0.050000,10.598764,8.595381,6.228463,3.246605,-3.973564,2.210995,1.366333
0.050000,10.627740,8.745258,6.381115,3.053036,-3.871363,2.044018,1.393085
0.050000,10.651352,8.886502,6.524319,2.864088,-3.778977,1.847707,1.417050
0.050000,10.670436,9.019099,6.658281,2.679251,-3.696722,1.645109,1.438507
0.050000,10.685714,9.143063,6.783183,2.498039,-3.624246,1.449516,1.457704
0.050000,10.697809,9.258430,6.899183,2.319996,-3.560853,1.267854,1.474859
0.050000,10.707260,9.365248,7.006419,2.144711,-3.505701,1.103042,1.490160
0.050000,10.714529,9.463571,7.105010,1.971815,-3.457919,0.955648,1.503771
0.050000,10.720015,9.553453,7.195059,1.800982,-3.416673,0.824925,1.515831
0.050000,10.724063,9.634948,7.276655,1.631922,-3.381201,0.709438,1.526462
0.050000,10.726966,9.708110,7.349874,1.464380,-3.350826,0.607497,1.535769
0.050000,10.728977,9.772985,7.414780,1.298133,-3.324959,0.517339,1.543840
0.050000,10.730307,9.829618,7.471429,1.132978,-3.303096,0.437268,1.550748
0.050000,10.731137,9.878048,7.519866,0.968737,-3.284810,0.365715,1.556558
0.050000,10.731615,9.918308,7.560129,0.805250,-3.269748,0.301240,1.561319
0.050000,10.731859,9.950425,7.592247,0.642369,-3.257620,0.242558,1.565074
0.050000,10.731962,9.974423,7.616245,0.479959,-3.248195,0.188490,1.567855
0.050000,10.731995,9.990318,7.632140,0.317894,-3.241296,0.137989,1.569686
0.050000,10.732000,9.998121,7.639943,0.156055,-3.236793,0.090068,1.570581
0.050000,10.732000,10.000000,7.641822,0.037589,-2.369305,17.349750,1.570796
0.050000,10.732000,10.000000,7.641822,0.000000,-0.751789,32.350328,1.570796
